plain_text_def,plain_text_term,gpt-3.5-turbo terms,gpt-4 terms
"
An interval-poset whose Hasse diagram does not contain any configuration of the form y→ z and y→ x where x<y<z is called an exceptional interval-poset.
",exceptional,exceptional interval-poset###Hasse diagram###configuration###y###z###x,exceptional interval-poset
"
An interval of _n is called new if it cannot be obtained as the grafting of two intervals. 
",new,new###,new
"
An interval-poset P of size n is called new if it has no increasing relation starting at 1, no decreasing relation starting at n and no relations of the form i+1 _P j+1 and j_P i for i < j.
",new,new###interval-poset P###size n###increasing relation###decreasing relation###relations###form i+1 _P j+1###j_P i###i###j,new
"
Given compositions βγ,  consider the cells of their respective diagrams as subsets of × indexed by (row,column), arranged according to the convention for the skew diagram of shape γβ, so that the last row of the cells of β lie in the last row ℓ(γ) of cells of γ.


We say that the cell (i,k) attacks the cell (j,k+1) if i<j, (j,k+1)∈γβ, and (i,k+1)∉β, although possibly (i,k)∈β.

A filling T: γβ→  is a semistandard composition tableau T  (SSCT) of shape γβ if it satisfies the following conditions:


  * 
Row
entries are weakly decreasing from left to right.

  * The entries in the first column are strictly increasing from top to bottom.

  * If

(i,k)∈γ attacks  (j,k+1) and either  (i,k)∈β or T(j,k+1)≤ T(i,k), then (i,k+1)∈γβ and  T(j,k+1)< T(i,k+1).

We say that T is  standard (an SCT) if T is injective and its range is precisely [n], where n= | γβ|.",Composition tableau,SSCT###shape γβ###cell###diagrams###skew diagram###row###column###attacks###filling T###semistandard composition tableau###Row entries###weakly decreasing###first column###strictly increasing###injective###range###n,semistandard composition tableau (SSCT)###standard (an SCT)###attacks
"
The skew quasisymmetric Schur functions _γβ are defined implicitly
by the equations

    Δ_γ = ∑_β_γβ⊗_β


where β ranges over all compositions.",Skew quasisymmetric Schur functions,skew quasisymmetric Schur functions###γβ###Δ_γ###⊗,skew quasisymmetric Schur functions
"
Permutations ω and π are C-equivalent , denoted ωπ, if ωQ∼π  and (P(ω))=(P(π)).
We denote the C-equivalence class of the permutation π by [π]_C.
The rectified shape of [π]_C is (P(π)).

Two SCT T and T'  are C-equivalent T T' if they have the same skew shape and w_col(T) w_col(T').
We denote the C-equivalence class of T by [T]_C.
The rectified shape of [T]_C is (T).
We say that [T]_C is complete if

    { w_col(T') : T'∈ [T]_C } = [w_col(T)]_C.
",C-equivalence,C-equivalent###permutations###C-equivalence class###rectified shape###SCT###skew shape###w_col(T)###complete###,C-equivalent ### C-equivalence class ### rectified shape ### complete
"
<cit.> Let P be a graded edge labeled poset whose covers are labeled by elements of a totally ordered set (B, <). Consider for x∈ P the descent Pieri operator

    x.  _k  = ∑ _ω end(ω),

where the sum is over all saturated chains ω of length k

    ω: x b_1→ x _1b_2→⋯b_k→ x_k=end(ω)
for b_1 ≤ b_2 ≤⋯≤ b_k ∈ B.

Furthermore, given a saturated chain ω of length n in P with labels b_1, b_2, … , b_n ∈ B let its descent set be descents(ω) = { i  |  b_i > b_i+1}, and let its corresponding descent composition Des(ω)  be the composition of n defined by set(Des(ω)) = descents(ω). Then

    K_[x,y] = ∑ _ω∈ ch[x,y] L_Des(ω),
 where ch[x,y] is the set of all saturated chains from x to y.
",descent Pieri operator;descent set;descent composition,"P###graded edge labeled poset###covers###labeled###elements###totally ordered set###B###descent Pieri operator###saturated chains###length###descent set###descents(ω)###descent composition###Des(ω)###composition###K_[x,y]###ch[x,y]###saturated chains###x###y###L_Des(ω)","descent Pieri operator###descent set###descent composition###K_[x,y]"
"[Composition poset] 
We say that

the
composition  γ covers β , denoted β⋖_C γ, if γ can be obtained from β either by prepending β with a new part of size 1, or by adding 1 to the first (leftmost) part of β of size k for some k.
The partial order ≤_C defined on the set of all compositions is the transitive closure of these cover relations, and the resulting poset we denote _C.
",γ covers β,composition poset###β⋖_C γ###≤_C,composition poset###covers###partial order###transitive closure###cover relations
"[Strips]
A vertical strip is a skew shape (either partition or composition) whose diagram contains at most one cell per row.
A horizontal strip is a skew shape whose diagram contains at most one cell per column.


",vertical strip;horizontal strip,Strips###vertical strip###skew shape###partition###composition###horizontal strip###skew shape###diagram###cell###row###column,Vertical strip###Horizontal strip
"[Composition tableau] 
Given compositions βγ,  consider the cells of their respective diagrams as subsets of × indexed by (row,column), arranged according to the convention for the skew diagram of shape γβ, so that the last row of the cells of β lie in the last row ℓ(γ) of cells of γ.


We say that the cell (i,k) attacks the cell (j,k+1) if i<j, (j,k+1)∈γβ, and (i,k+1)∉β, although possibly (i,k)∈β.

A filling T: γβ→  is a semistandard composition tableau T  (SSCT) of shape γβ if it satisfies the following conditions:


  * 
Row
entries are weakly decreasing from left to right.

  * The entries in the first column are strictly increasing from top to bottom.

  * If

(i,k)∈γ attacks  (j,k+1) and either  (i,k)∈β or T(j,k+1)≤ T(i,k), then (i,k+1)∈γβ and  T(j,k+1)< T(i,k+1).

We say that T is  standard (an SCT) if T is injective and its range is precisely [n], where n= | γβ|.
",attacks;semistandard composition tableau T  (SSCT) of shape γβ;standard,SSCT###shape###composition tableau###skew diagram###row###column###cell###attacks###filling###semistandard composition tableau###Row###SSCT###SCT###injective###range###n,Composition tableau###semistandard composition tableau###standard
"[C-equivalence] 
Permutations ω and π are C-equivalent , denoted ωπ, if ωQ∼π  and (P(ω))=(P(π)).
We denote the C-equivalence class of the permutation π by [π]_C.
The rectified shape of [π]_C is (P(π)).

Two SCT T and T'  are C-equivalent T T' if they have the same skew shape and w_col(T) w_col(T').
We denote the C-equivalence class of T by [T]_C.
The rectified shape of [T]_C is (T).
We say that [T]_C is complete if

    { w_col(T') : T'∈ [T]_C } = [w_col(T)]_C.

",C-equivalent;rectified shape;rectified shape;complete,C-equivalence###C-equivalence class###rectified shape###SCT###skew shape###w_col(T)###complete###,C-equivalence###complete
"

Let T∈ SCT(γβ), colseq(T)=(c_n,…,c_1),
determining the pair (ω,f).  Let ω2*≅σ, T'=(σ,f)β.
We say that T and T' are rigidly related , denoted T≎ T', if both


  * ω is obtained from σ by exchanging the values  k and k+1, i.e., σ=q_k(ω).

  * c_k+2=1, and {c_k,c_k+1} = {1,2} as sets.

",rigidly related,T≎ T'###rigidly related###,rigidly related
" Let α be a composition, and let a dotted composition tableau  of shape sh () be an SSCT T of shape sh(T) with exactly one entry with k dots placed above it for k=1, … , | sh(T) |. Then  the quasisymmetric Schur function in noncommuting variables _α 

is 
defined to be

    _α = ∑ _sh() = α x^,
 where the sum is over  all dotted composition tableaux  of shape α, and x^ is the monomial with x_i in position j if and only if  has a cell containing i with j dots above it.
",dotted composition tableau;quasisymmetric Schur function in noncommuting variables,quasisymmetric Schur function in noncommuting variables###dotted composition tableau###shape###SSCT T###α###x^###monomial###position###dots,quasisymmetric Schur function in noncommuting variables _α###dotted composition tableau
"
Let π be a non-crossing partition in which no block has more than two elements and
for which we have at least one block of size 1. From π create a new partition
π̃ by joining into a single block all the blocks of π of size 1. If
π̃ is non-crossing we say that π is a non-crossing half-pairing .
The blocks of π of size 1 are called the through strings .

",half-pairing;through strings,non-crossing partition###block###size 1###non-crossing half-pairing###through strings,non-crossing half-pairing ### through strings
"
Given a word w let v be the letters of w to which the
through strings of the unique w-admissible half-pairing
are attached. Then v is a cyclic reduction of w – we
shall call it the standard cyclic reduction of w
and denote it w.
",standard,cyclic reduction###standard cyclic reduction,standard cyclic reduction
"[Compositions over a finite abelian group]
An m-composition of ∈ G over G is a solution to
_1+⋯ +_m =, where each _i=(x_i, 1, …, x_i, r)
is a nonzero element of G and addition is taken component-wise and modulo
k_t for 1≤ t≤ r.
If we allow 0 as a value for the _i, then we speak of weak
compositions over G.
",m-composition of ∈ G over G,compositions###finite abelian group###m-composition###G###solution###nonzero element###addition###component-wise###modulo###weak compositions,m-composition of ∈ G over G ### weak compositions over G
"[Locally restricted compositions associated with a digraph] 
Let  be a positive integer.
We use  to denote the empty composition, and we use _s to denote
a distinguished copy of .
Let =_0(G) ∪⋯∪_-1(G), and let
 be a nonempty subset of _(G).
Let D be a digraph with vertex set V(D)={_s}.
Assume D satisfies the following conditions.


  * There is at least one arc from _s to  and at least one arc from
   to .

  * There are no arcs (including loops) between vertices in
  {_s}.

  * The sub-digraph D_ of D induced by  is strongly
  connected and contains at least two vertices.

The vertices in  are called recurrent vertices.
Let 
denote the set of directed walks from _s to , and let (G;D)
denote the class of compositions obtained by concatenating vertices in .
Then (G;D) is called the class of locally restricted compositions
over G associated with D .
We call  the span of (G;D).
",recurrent,locally restricted compositions###digraph###empty composition###distinguished copy###subset###nonempty subset###arc###vertex###strongly connected###recurrent vertices###directed walks###span,recurrent vertices###class of locally restricted compositions###span of (G;D)
"[Transfer matrix, weights, start and finish vectors]
  
Let (G; D) be a class of locally restricted compositions from
Definition <ref>.
Fix an order on the vertices in .
We define the transfer matrix T() as the square matrix whose rows
and columns are indexed by the vertices in  such that
T_,()=^|| if there is an arc from
 to , and T_,()=0  otherwise.
We say that ^|| is the weight of an arc (,).
The weight of a directed walk in D is defined to be the product of the
weights of the arcs of the walk.
The start vector () is defined as the row vector whose
jth entry is the weight of the arc from _s to the
jth recurrent vertex (this entry is zero if such an arc
does not exist).
For each integer 0≤ b<, we define the finish vector
_b() as the column vector whose jth entry is the
sum of weights of all arcs from the jth recurrent vertex
to a vertex in _b(G).
",transfer matrix;weight;start vector;finish vector,Transfer matrix###weights###start vector###finish vector,Transfer matrix###weights###start vector###finish vector
"
A graph is called threshold graph if it does not contain C_4, P_4 or 2K_2 as its induced subgraph. ",threshold graph,threshold graph###C_4###P_4###2K_2,threshold graph
"
For a graph G and a set W⊂ V(G), we say G d-expands into W if


  * |N_G(X, W)|≥ d|X| for all X⊂ V(G) with 1≤ |X|<⌈|W|/2d⌉, and,

  * e_G(X,Y)>0 for all disjoint X,Y⊂ V(G) with |X|=|Y|=⌈|W|/2d⌉.

",d-expands,"d-expands###graph###set###V(G)###N_G(X, W)###X###⌈|W|/2d⌉###e_G(X,Y)",d-expands
"
A graph H is strictly balanced if for any proper subgraph H' of H with at least two vertices, d_1(H') < d_1(H).
",strictly balanced,strictly balanced###graph###proper subgraph###vertices###d_1(H')###d_1(H),strictly balanced
"
For a bipartite graph G(U,V) with |V| = k |U|, |U| disjoint copies of K_1,k (a star) is a k-matching from U to V.",k-matching,"k-matching###bipartite graph###star###K_1,k",k-matching
"
In a graph G, we say that (R,r,s) is an absorber for a vertex v ∈ V(G) if {r,s}⊂ R ⊂ V(G), r ≠ s, and if there is both an r,s-path in G with vertex set R and an r,s-path in G with vertex set R ∪ v.  We refer to |R| as the size of the absorber, and call the vertices r,s the ends of the absorber.
",absorber;size;ends,absorber###size###ends,absorber###size of the absorber###ends of the absorber
"  
The pseudodeterminant (L) is the last nonzero coefficient in the unsigned characteristic polynomial of L.
That is,

    (L) := 
      ∑_I ⊆ [n]: 
     |I| = r(L_I,I)
    = ∏_i=1^r λ_i.

",pseudodeterminant,"pseudodeterminant###unsigned characteristic polynomial###L###I###r(L_I,I)###λ_i",pseudodeterminant
"

The CW-complex S is (i-1)-acyclic if _j(S)=0 for -1 ≤ j ≤ i-1.  
For S an (i-1)-acyclic CW-complex, a
subcomplex T ⊆ S is an i-dimensional (spanning) tree , or simply an i-tree , if S^(i-1)⊆ T⊆ S^(i)
and T satisfies the following three conditions
(of which any two imply the third):


  (i) _i(T)=0;

  (ii) _i-1(T) is finite;

  (iii) the number of i-cells in T equals the rank of _i, namely

    (_i):=∑_j=-1^i-1 (-1)^i-1-j f_j(S).


",(i-1)-acyclic;i-dimensional (spanning) tree;i-tree,CW-complex###(i-1)-acyclic###_j(S)###i-dimensional (spanning) tree###i-tree###S^(i-1)###T###S^(i)###_i(T)###_i-1(T)###f_j(S)###(_i),(i-1)-acyclic CW-complex###i-dimensional (spanning) tree###i-tree
" 
Let (S,α) be a self-dual d-ball and T⊆ S a subcomplex.
The Alexander dual (or blocker ) of T in S is

    T^∨:= {cells σ of S: α(σ) ∉T}.

",blocker,self-dual d-ball###subcomplex###Alexander dual###blocker,Alexander dual###blocker
" <cit.>
A subset D ⊆ V is a double dominating set of  a signed graph Σ if it satisfies the following two conditions: (i) for every v ∈ V,  |N[v] ∩ D| ≥ 2 and, (ii) Σ [D : V∖ D] is balanced.
",double dominating set,double dominating set###signed graph###subset###balanced,double dominating set
"
For positive integers n and k satisfying 2 ≤ 2k <n, the generalised Petersen graph P_n,k is defined by 
    V(P_n,k) = {u_0,u_1,...,u_n-1,v_0,v_1,...,v_n-1} and E(P_n,k) = {u_iu_i+1,u_iv_i,v_iv_i+k | i=0,1,...,n-1},
 where the subscripts are read modulo n.
",generalised Petersen graph,"Petersen graph###generalised Petersen graph###V(P_n,k)###E(P_n,k)###u_i###v_i###modulo n","generalised Petersen graph P_n,k###V(P_n,k)###E(P_n,k)"
" We say that  a member of 𝒮(α) which is a join-subsemilattice  of ω×α is a lattice sierpinskisation of ωα and ω.  We will denote by 𝒮_Lat(α) the subset of 𝒮(α)  consisting of lattice sierpinskisations.
",lattice sierpinskisation,"join-subsemilattice, lattice sierpinskisation, 𝒮(α), ω×α, 𝒮_Lat(α)###",lattice sierpinskisation###𝒮_Lat(α)
"
	 is a k-partition (k ≥ 1) on V if =^(1)∪⋯∪^(k) with ^(1) a partition of V,
	and for every 2 ≤ r ≤ k, ^(r) is a partition of _r(^(1)) into r-partite r-graphs with ^(r)≺_r():={(P)  |  P  is an r-polyad of }.",k-partition,k-partition###V###^(1)###r###k###^(r)###_r(^(1))###r-partite r-graphs###(P)###r-polyad,k-partition###r-partite r-graphs###r-polyad
"[k-partition]
	 is a k-partition (k ≥ 1) on V if =^(1)∪⋯∪^(k) with ^(1) a partition of V,
	and for every 2 ≤ r ≤ k, ^(r) is a partition of _r(^(1)) into r-partite r-graphs with ^(r)≺_r():={(P)  |  P  is an r-polyad of }.
",k-partition,k-partition###V###^(1)###2###r###k###^(r)###_r(^(1))###r-partite r-graphs###^(r)≺_r()###(P)###r-polyad,k-partition###r-partite r-graphs###r-polyad
"[⟨⟩̣-good partition]
A k-partition  on V is ⟨⟩̣-good if for every 2 ≤ r ≤ k and every F ∈^(r) the following holds;
letting P=(F) be the r-polyad of  underlying F, for every 1 ≤ i ≤ r the bipartite graph G_F,P^i is ⟨⟩̣-regular.


",⟨⟩̣-good;⟨⟩̣-good,⟨⟩̣-good###,⟨⟩̣-good partition
"[-regular k-graph]
	A k-partite k-graph H is (,d)-regular—or simply -regular—in a k-polyad P with H (P)
	
	if for every S  P with |(S)| ≥|(P)| we have d_H(S) = d ±.
","(,d)-regular—or;-regular—in","-regular k-graph###k-partite k-graph###(,d)-regular###-regular###k-polyad###d_H(S)###d ±",-regular k-graph###k-partite k-graph
"[-regular partition]
	A partition  of a k-graph H is -regular if
	∑_P |(P)| ≤|V(H)|^k where the sum is over all k-polyads P of  for which
	H ∩(P) is not -regular in P.	
	
	
	
",-regular,-regular partition###k-graph###partition###k-polyads###V(H)###H###,-regular partition
"[f-equitable partition]
	Let f[0,1]→[0,1].
	An (r,a_1,…,a_r)-partition  is f-equitable if ^(1) is equitable and for every 2 ≤ i ≤ r, every i-graph F ∈^(i) is (,1/a_i)-regular in (F), where =f(d_0) and d_0=min{1/a_2,…,1/a_r}.
",f-equitable,"f-equitable partition###equitable###i-graph###(r,a_1,…,a_r)-partition###(,1/a_i)-regular###(F)###f(d_0)###d_0###min{1/a_2,…,1/a_r}","f-equitable partition###(r,a_1,…,a_r)-partition"
"[complex]
	A k-complex (k ≥ 2) is a k-partite hypergraph P of rank k-1 where P^(r)(P^(r-1)) for every 2 ≤ r ≤ k-1.
	
",k-complex,k-complex###k-partite hypergraph###rank###P^(r)###P^(r-1),k-complex###k-partite hypergraph###rank
"
In the achievement game played on a hypergraph , Player 1 has a fair win if he builds some e∈ E() on a turn which comes before any turn on which Player 2 builds some f∈ E().
",fair win,hypergraph###achievement game###Player 1###Player 2###fair win###builds###turn###E()###,fair win
"
In the achievement game played on a hypergraph , Player 1 has an early win if he builds some e∈ E(), say in n moves, such that there is no m≤ n for which Player 2 had e-1 points of a set e∈ E() on his mth turn, and on which Player 1 had no point on his mth turn.
",early win,hypergraph###achievement game###Player 1###early win###Player 2###points###set###moves###turn,early win
"
In the achievement game played on a hypergraph , Player 1 has a humiliating win if he occupies some e∈ E() before Player 2 occupies all but one vertex of some edge f∈ E().

",humiliating win,hypergraph###achievement game###Player 1###Player 2###vertex###edge,humiliating win
"
A vertex v is called simplicial in a graph G if its neighborhood is a clique in G.
",simplicial,simplicial###graph###neighborhood###clique,simplicial
"
  Let v be a d-vertex of G, with d_i neighbors of degree i
  (i=2,3). If d⩾ 4, we say that:
  
  
  ∙ v is nice if d-d_2⩾ 8.
  
  ∙ v is good if d-d_2⩾ 6.
  
  ∙ v is weakly good if d-d_2=5.
  
  ∙ v is weakly bad of type 1 if d-d_2=4 and d_3=0,
    and weakly bad of type 2 if d-d_2=4 and d_3=1.
  
  ∙ v is bad if d-d_2=3.
  
",nice;good;weakly good;weakly bad of type 1;weakly bad of type 2;bad,nice###good###weakly good###weakly bad of type 1###weakly bad of type 2###bad,nice###good###weakly good###weakly bad of type 1###weakly bad of type 2###bad
"
The Betti poset of a poset P is the subposet 
consisting of all homologically contributing elements, 

    B(P)={q∈ P  | _i(Δ_q) ≠ 0  i}.

",Betti poset,Betti poset###poset###homologically contributing elements###subposet###Δ_q###_i,Betti poset
"<cit.>
Let M be a monomial ideal, with lcm-lattice L_M. 
Then M is a rigid ideal if the following two conditions hold: 


  (R1) For every p∈ L_M, we have h_i(Δ_p)=1 
	for at most one i.

  (R2) If there exist p,q ∈ L_M, where 
         h_i(Δ_p)=h_i(Δ_q)=1 
         for some i then p and q are incomparable in L_M. 

",rigid ideal,rigid ideal###lcm-lattice###monomial ideal###h_i###Δ_p###incomparable,rigid ideal
"
A monomial ideal J is a rigid deformation of the monomial ideal 
I if J is a rigid ideal, and the resolution of J can be relabeled to minimally resolve I. 
",rigid deformation,monomial ideal###rigid deformation###rigid ideal###resolution###minimally resolve,rigid deformation###rigid ideal###resolution of J###minimally resolve I
"
Given q ∈ P let C be the set of all chains c ∈ (0̂, q] 
such that c has ℓ(q) elements.  
The maximal ranked subposet of (0̂, q] 
is the set 
    (P,q)={p∈ (0̂, q] : p ∈ c ∈ C},
 
with comparison inherited from P. 
",maximal ranked subposet of,P###chains###0̂###q###ℓ(q)###maximal ranked subposet###comparison###inherited###,maximal ranked subposet###C
"
A Fractional Repetition (FR) code 𝒞, with repetition degree ρ for an (n,k,d) DSS, is a collection 𝒞 of n subsets V_1, V_2, … ,V_n of a set Ω={1,…,θ} and of cardinality d each, satisfying the condition that each element of Ω belongs to exactly ρ sets in the collection.
",A Fractional Repetition,"FR code###repetition degree###(n,k,d) DSS###collection###subsets###set###cardinality","Fractional Repetition (FR) code###repetition degree###(n,k,d) DSS"
"[see <cit.>]
A tableau T' is a benign tableau if the entries of T' weakly increase in columns and for every two mixed columns A and B (A is to the left of B), the lowest i in A is not higher than the lowest i in B. In other words, the vertical coordinates of the borders between i's and i+1's in mixed columns weakly increase from left to right (see Figure <ref>).
",benign tableau,benign tableau###mixed columns###vertical coordinates###borders,benign tableau
"[Cameron and Kantor (paraphrased) <cit.>] 

Let (p,σ) be a point-plane anti-flag of (3,q) and let Ω be a set of q
(q^2-1)(q^2+q+1) parabolic congruences[A pencil of lines of (3,q) refers to
  the set of lines passing through a point, lying on a plane.  A set of q^2+q+1 lines concurrent
  with a common line ℓ, no two of which meet in a point not on ℓ, is called a
  parabolic congruence , and the line ℓ is its axis . The image of a parabolic congruence under the Klein
  correspondence yields a 3-dimensional quadratic cone of ^+(5,q), and vice-versa (see
  <cit.>), and so a parabolic congruence is a union of q+1 pencils sharing a
  line.]  each having axis not incident with p or σ, but having a pencil of lines with one
line incident with p and another incident with σ.  Suppose that for each pencil
ℒ with vertex not in σ and plane not incident with p, there are precisely q+1 elements
of Ω containing ℒ, whose union are the lines of some linear complex (i.e., the
lines of a symplectic geometry 𝖶(3,q)).  Then the following incidence structure Γ
is isomorphic to the split Cayley hexagon ℋ(q).

Points:     (a) Lines of 𝖯𝖦(3,q).

       (b) Pencils with a vertex not in σ and plane not incident with p.

  Lines:     (i) Pencils with a vertex in σ and plane through p.

       (ii) Elements of Ω.

  


16cm
An element ℓ of type (a) is incident with an element 𝒫 of type (i) if ℓ is an
element of 𝒫.  If 𝒞 is an element of type (ii), then ℓ is incident with
𝒞 if ℓ is the axis of 𝒞.  Elements of type (i) and (b) are never
incident. The containment relation defines incidence between elements of type (b) and (ii).



",pencil;parabolic congruence;axis,parabolic congruences###pencil of lines###axis###linear complex###symplectic geometry###incidence structure###split Cayley hexagon###,parabolic congruence###linear complex###incidence structure
" <cit.>
Suppose Σ={a_1<a_2<⋯ <a_k} is an ordered alphabet. The Parikh matrix mapping with respect to Σ, denoted by Ψ_Σ, is the morphism:

    Ψ_Σ:Σ^*→ℳ_k+1,

defined such that for every integer 1≤ q≤ k, if Ψ_Σ(a_q)=(m_i,j)_1≤ i,j≤ k+1, then


  * m_i,i=1 for all 1≤ i≤ k+1;

  * m_q,q+1=1; and 

  * all other entries of the matrix Ψ_Σ(a_q) are zero.
 
Matrices of the form Ψ_Σ(w) for w∈Σ^* are termed as  Parikh matrices .
",Parikh matrix mapping;Parikh matrices,Parikh matrix###Parikh matrices,Parikh matrix mapping###Parikh matrices
"<cit.>
Suppose Σ is an alphabet and v,w∈Σ^*. The v-core of w, denoted by _v(w), is the unique subword w' of w such that w' is the subword of shortest length which satisfies |w'|_v=|w|_v.
",v-core,v-core###w###Σ###Σ^*###|w'|_v###|w|_v,v-core
"<cit.>
Suppose Σ is an alphabet and w∈Σ^*. Suppose w=a^p_1_1a^p_2_2⋯ a^p_n_n such that a_i∈Σ and p_i>0 for all 1≤ i≤ n with a_i≠ a_i+1 for all 1≤ i≤ n-1. The print of w, denoted by pr(w), is the word a_1a_2⋯ a_n. 
",print;print word;print,pr(w)###print of w###,print of w
"
Suppose Σ is an ordered alphabet. Let φ={w_i}_i≥ 0 be a sequence of words over Σ such that for all integers i≥ 0, we have w_i⊣ w_i+1. We say that a sequence {m_i}_i≥ 0 is the M-ambiguity sequence corresponding to φ , denoted by Θ_φ, if and only if for every integer i≥ 0, we have m_i∈{A,U} such that if m_i=A, then w_i is M-ambiguous; otherwise if m_i=U, then w_i is M-unambiguous.
",M-ambiguity sequence corresponding to φ,M-ambiguous###M-unambiguous###Θ_φ###φ###Σ,M-ambiguity sequence###M-ambiguous###M-unambiguous
"
Suppose n is a positive integer. A set P⊆ℝ^n is a rational polyhedron if and only if P={x∈ℝ^n | Ax≥b} for some matrix A∈ℚ^m× n and vector b∈ℚ^m, where m is a positive integer.
",rational polyhedron,rational polyhedron###matrix A###vector b###positive integer###,rational polyhedron
"
Suppose Σ is an ordered alphabet.
Two words w,w'∈Σ^* are M-equivalent , denoted by w≡_Mw', iff Ψ_Σ(w)=Ψ_Σ(w').
A word w∈Σ^* is M-ambiguous iff it is M-equivalent to another distinct word. Otherwise, w is . For any word w∈Σ^*, we denote by C_w the set of all words
that are M-equivalent to w.
",M-equivalent;M-ambiguous;M-unambiguous,M-equivalent###M-ambiguous###C_w,M-equivalent###M-ambiguous
