True Term Num,Extracted Term Num,TP,Cut Off,Too Long,Split Term,expected,extracted
1,6,1,1,0,1,pseudodeterminant,"pseudodeterminant###unsigned characteristic polynomial###L###I###r(L_I,I)###λ_i"
3,12,3,2,0,3,(i-1)-acyclic;i-dimensional (spanning) tree;i-tree,CW-complex###(i-1)-acyclic###_j(S)###i-dimensional (spanning) tree###i-tree###S^(i-1)###T###S^(i)###_i(T)###_i-1(T)###f_j(S)###(_i)
1,4,1,0,0,1,blocker,self-dual d-ball###subcomplex###Alexander dual###blocker
1,4,1,0,0,1,double dominating set,double dominating set###signed graph###subset###balanced
1,7,1,1,0,1,generalised Petersen graph,"Petersen graph###generalised Petersen graph###V(P_n,k)###E(P_n,k)###u_i###v_i###modulo n"
1,1,0,0,1,1,lattice sierpinskisation,"join-subsemilattice, lattice sierpinskisation, 𝒮(α), ω×α, 𝒮_Lat(α)###"
1,10,1,2,0,1,k-partition,k-partition###V###^(1)###r###k###^(r)###_r(^(1))###r-partite r-graphs###(P)###r-polyad
1,12,1,2,0,1,k-partition,k-partition###V###^(1)###2###r###k###^(r)###_r(^(1))###r-partite r-graphs###^(r)≺_r()###(P)###r-polyad
1,1,1,0,0,1,⟨⟩̣-good;⟨⟩̣-good,⟨⟩̣-good###
2,7,0,3,0,0,"(,d)-regular—or;-regular—in","-regular k-graph###k-partite k-graph###(,d)-regular###-regular###k-polyad###d_H(S)###d ±"
1,6,0,0,1,1,-regular,-regular partition###k-graph###partition###k-polyads###V(H)###H###
1,9,0,1,1,1,f-equitable,"f-equitable partition###equitable###i-graph###(r,a_1,…,a_r)-partition###(,1/a_i)-regular###(F)###f(d_0)###d_0###min{1/a_2,…,1/a_r}"
1,5,1,0,0,1,k-complex,k-complex###k-partite hypergraph###rank###P^(r)###P^(r-1)
1,8,1,0,0,1,fair win,hypergraph###achievement game###Player 1###Player 2###fair win###builds###turn###E()###
1,9,1,0,0,1,early win,hypergraph###achievement game###Player 1###early win###Player 2###points###set###moves###turn
1,6,0,0,0,0,humiliating win,hypergraph###achievement game###Player 1###Player 2###vertex###edge
1,4,1,0,0,1,simplicial,simplicial###graph###neighborhood###clique
6,6,6,3,3,6,nice;good;weakly good;weakly bad of type 1;weakly bad of type 2;bad,nice###good###weakly good###weakly bad of type 1###weakly bad of type 2###bad
1,6,1,1,0,1,Betti poset,Betti poset###poset###homologically contributing elements###subposet###Δ_q###_i
1,6,1,0,0,1,rigid ideal,rigid ideal###lcm-lattice###monomial ideal###h_i###Δ_p###incomparable
1,5,1,0,0,1,rigid deformation,monomial ideal###rigid deformation###rigid ideal###resolution###minimally resolve
1,8,0,2,0,0,maximal ranked subposet of,P###chains###0̂###q###ℓ(q)###maximal ranked subposet###comparison###inherited###
1,7,0,0,0,0,A Fractional Repetition,"FR code###repetition degree###(n,k,d) DSS###collection###subsets###set###cardinality"
1,4,1,0,0,1,benign tableau,benign tableau###mixed columns###vertical coordinates###borders
3,7,1,0,2,3,pencil;parabolic congruence;axis,parabolic congruences###pencil of lines###axis###linear complex###symplectic geometry###incidence structure###split Cayley hexagon###
2,2,1,1,0,1,Parikh matrix mapping;Parikh matrices,Parikh matrix###Parikh matrices
1,6,1,0,0,1,v-core,v-core###w###Σ###Σ^*###|w'|_v###|w|_v
2,2,0,0,1,1,print;print word;print,pr(w)###print of w###
1,5,0,1,0,0,M-ambiguity sequence corresponding to φ,M-ambiguous###M-unambiguous###Θ_φ###φ###Σ
1,4,1,0,0,1,rational polyhedron,rational polyhedron###matrix A###vector b###positive integer###
3,3,2,0,0,2,M-equivalent;M-ambiguous;M-unambiguous,M-equivalent###M-ambiguous###C_w
1,13,1,0,0,1,Dobrushin coefficient,Dobrushin coefficient###total variation distance###probability distributions###coupling###Markov chain###transition matrix###finite state space S###reversible Markov chain###N(v)###P_1###P_2###X###Y###
1,1,0,0,1,1,Configuration entropy,"ν, I_d(S), S, T_d, F, S^V(F), configuration entropy, h(F)###"
1,15,1,2,0,1,flip in row k,flip in row k###Young diagrams###flip###row k###length l###rule###point###diagram M###line x - y = μ_k + k###SW direction###NE direction###boundary###coordinate line###x-coordinate###point l
3,13,3,2,0,3,dimension vector;indecomposable;representation-finite,quiver###oriented graph###finite###vertices###arrows###representation###datum###vector space###linear map###dimension vector###indecomposable###representation-finite###isomorphism classes###
1,8,1,0,0,1,contour,contour###graph###finite connected component###minimal###edges###vertices###grafting###interval###
1,18,1,0,0,1,Polynomial nilsequence,nilpotent Lie group###filtration###degree###nested sequence###polynomial sequence###adapted###map###rational subgroups###lattice###discrete###cocompact subgroup###quotient###nilmanifold###filtered nilmanifold###polynomial orbit###1-bounded###Lipschitz function###polynomial nilsequence###
1,13,0,1,1,1,Lipschitz functions,nilmanifold###standard Lipschitz functions###compact manifold###smooth metric###bounded limit functions###Lipschitz constant###ultralimit###uniformly bounded functions###limit complex sphere###complex sphere###functions###range###discussion###
1,30,1,0,0,1,Nilsequence,nilsequence###degree###limit function###filtered nilmanifold###limit polynomial sequence###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultralimit###polynomial sequences###standard filtered nilmanifold###limit function###ultral
1,8,1,0,1,1,Nilcharacter,nilcharacter###degree###nilsequence###function###standard integer###nilcharacters###space###denoted###
1,1,0,0,1,1,Symbol,"nilcharacters, Ξ^d([N]), degree, equivalent, ⊗, nilsequence, equivalence relation, symbol, [χ]_^d([N]), space, abelian multiplicative group###"
1,7,1,0,1,1,Ordering,ordering###partial ordering###binary operation###identity element###minimal element###finite downset###initial segment
1,13,0,0,2,1,Polynomial map,polynomial maps###derivative###I-filtered groups###abelian###H###G###∂_h g(n)###∂_h_1…∂_h_m g (n)###G_i_1 + … + i_m###H_I###G_I###limit polynomial maps###ultralimits###
1,14,1,0,0,1,Universal nilmanifold,dimension vector###universal nilpotent group###degree-rank###Lie group###formal generators###iterated commutator###trivial###filtration###discrete group###universal nilmanifold###vertical frequency###continuous homomorphism###filtered homomorphism###integers###
1,10,0,0,1,1,Representation,nilcharacter###degree-rank###filtered nilmanifold###function###Polynomial orbits###dimension vector###universal vertical frequency###filtered homomorphism###horizontal frequency vector###total frequency representation
1,5,0,0,0,0,Limit objects,ultralimit###limit natural number###limit real number###sum###less than
1,7,0,0,1,1,σ-limit,σ-limit set###limit set###limit sequence###limit natural numbers###limit subsets###union###standard natural numbers
1,1,0,0,1,1,Polynomial map,polynomial maps###
1,11,1,0,1,1,rational,Factorisation theorem###natural number###arithmetic subprogressions###polynomial###Lipschitz constant###Taylor coefficient###rational subgroup###polynomial sequence###equidistributed###conjugate###rational
6,4,3,0,0,3,filtration;polynomial sequence;rational;filtered nilmanifold;polynomial orbit;polynomial nilsequence,polynomial nilsequence###filtered nilmanifold###polynomial orbit###polynomial nilsequence
1,34,1,0,0,1,nilsequence,nilsequence###degree###limit function###filtered nilmanifold###polynomial sequence###ultralimit###polynomial sequences###limit polynomial sequence###limit function###filtered nilmanifold###degree###limit function###polynomial sequence###ultralimit###polynomial sequences###limit polynomial sequence###limit function###filtered nilmanifold###degree###limit function###polynomial sequence###ultralimit###polynomial sequences###limit polynomial sequence###limit function###filtered nilmanifold###degree###limit function###polynomial sequence###ultralimit###polynomial sequences###limit polynomial sequence###limit function###filtered nilmanifold###
3,7,3,0,0,3,d-correlate;d-biased;d-unbiased,d-correlate###d-biased###d-unbiased###limit finite subset###L^∞(Ω→^ω)###degree d nilsequence###ψ∈^d(Ω→^ω)
2,29,2,1,1,2,nilcharacter;vertical frequency,nilcharacter###degree###nilsequence###function###standard integer###degree###nilsequence###degree###function###additional properties###G/Γ###pointwise###χ###pointwise###pointwise###F###G/Γ###G_d###Γ_d###continuous standard homomorphism###Γ_d###integers###Pontryagin dual###torus###vertical frequency###nilcharacters###degree###[N]###Ξ^d([N])
2,10,2,0,0,2,equivalent;symbol,symbol###nilcharacters###equivalent###nilsequence###degree###equivalence relation###symbol###denoted###space###abelian multiplicative group
2,7,2,0,1,2,ordering;finite downset,Ordering###partial ordering###binary operation###identity element###minimal element###finite downset###initial segment
2,18,1,3,3,2,I-filtration;degree;degree,I-filtration###I-filtration on G###G_I###subgroups###I###Nesting###G_i###G_j###Commutators###G_i+j###degree ≤ d###degree ⊆ J###downset###trivial###i###j###d###J
2,17,0,13,0,0,"nilpotent Lie group of multi-degree ≤ (d_1,…,d_k);nilpotent Lie group of degree-rank ≤ (d,r)",nilpotent Lie group###multi-degree###I-filtered Lie group###degree###multidegree ordering###downset###nilpotent Lie group###multidegree###nilpotent Lie group###degree-rank###-filtered Lie group###degree###additional axioms###filtered nilmanifold###multidegree###multidegree###degree-rank
3,12,3,0,0,3,I-filtered quotient space;I-filtered homomorphism;I-filtered nilmanifold,I-filtered quotient space###I-filtered group###subgroup###induced filtration###I-filtered homomorphism###group homomorphism###nilpotent I-filtered Lie group###discrete cocompact subgroup###rational with respect to G_I###I-filtered nilmanifold###degree ≤ d###⊆ J
3,3,3,1,1,3,degree filtration;multidegree filtration;degree-rank filtration,degree filtration###multidegree filtration###degree-rank filtration
1,15,0,2,2,1,polynomial,Polynomial map###derivative###I-filtered groups###H###G###n###m###i_1###i_m###h_j###H_I###G_I###limit polynomial maps###ultralimits###Appendix
3,32,0,13,0,0,limit polynomial orbit;degree d nilcharacter;vertical frequency,nilsequences###nilcharacters###I###J###H###I-filtered group###polynomial###degree###J###nilpotent manifold###G/Γ###I-filtered nilpotent manifold###degree###J###g###H_I→ G_I###limit polynomial map###H_I###G_I###F###(G/Γ) →C^ω###nilsequences###^⊂ J( H)###nilsequences###degree ≤ d###d###I###^≤ d( H)###Ω###nilsequences###^⊂ J(Ω)###^≤ d
2,8,1,0,0,1,equivalent;symbol,symbol###equivalence class###nilcharacters###nilsequence###degree###limit subset###I-filtered group###space
1,6,1,0,0,1,"linearised (1,s-1)-function","linearised (1,s-1)-function###limit function###factorisation###L^∞(→^ω)###L^∞(→ S^1)###degree ≤ s-2 nilsequence"
4,12,4,0,0,4,dimension vector;universal nilpotent group;universal nilmanifold;universal vertical frequency,Universal nilmanifold###dimension vector###universal nilpotent group###degree-rank###Lie group###iterated commutator###filtration###discrete group###universal vertical frequency###continuous homomorphism###filtered homomorphism###integers###
3,12,3,1,1,3,representation;horizontal frequency vector;total frequency representation,nilcharacter###degree-rank###representation###filtered nilmanifold###function###polynomial orbits###dimension vector###universal vertical frequency###filtered homomorphism###horizontal frequency vector###frequencies###total frequency representation
1,9,1,1,0,1,independent modulo O(),Linear independence###modulo O()###frequencies###independent modulo O()###collection###standard integers###not all zero###quotienting out###subgroup
5,6,4,0,1,5,independent;rational;small;disjoint union;represented,horizontal frequency vectors###independent###rational###small###disjoint union###represented by
3,14,3,0,0,3,ultralimit;limit natural number;limit real number,limit objects###ultralimit###standard objects###equivalence class###sequences###standard natural numbers###limit natural number###standard real numbers###limit real number###operation###relation###sum###less than###sufficiently close to p
9,9,7,0,1,8,ultrapower;ultrapower;limit set;limit group;limit finite set;limit subset;ultralimit;limit function;limit map;in a limit fashion,ultrapower###ultralimits###ultraproduct###limit set###limit group###limit finite set###limit subset###limit function###limit map
3,9,3,1,1,3,bounded;infinitesimal;unbounded;bounded;unbounded,bounded###O(1)###≪###unbounded###o(1)###infinitesimal###standard topological space###compact subset###V
3,5,3,1,1,3,correlate;biased;unbiased,biased###unbiased###correlate###L^p norms###L^∞ norm###
7,4,1,0,3,3,dense;many;sparse;few;co-sparse;almost all;almost bounded,Density###sparse subset###co-sparse subset###almost bounded
2,7,1,0,1,2,σ-limit;standard,σ-limit###limit set###limit sequence###limit natural numbers###limit subsets###union###standard natural numbers
2,21,1,2,1,2,derivative;polynomial,"Polynomial map###derivative###group###I-filtrations###map###space###H###G###∂_h g###n###g###H_0###H_I###G_I###m###i_1###i_m###h_j###j=1,…,m###H_ i_j###G_i_1+…+i_m"
5,11,2,0,3,5,Host-Kra cube group;order;cubes;dimension;degrees,"I-filtered group###Host-Kra cube group###G^2^[m]###ι_ω_0(g_ω_0)###ω_0###[m]###g_ω###G_∑_j ∈ω_0 i_j###^i_1,…,i_m(G)###order###cubes of dimension m and degrees i_1,…,i_m"
2,9,2,1,1,2,equidistributed;totally equidistributed,equidistributed###totally equidistributed###standard nilmanifold###Haar probability measure###limit finite set###limit function###unbiased###dense arithmetic progressions###Lipschitz function
1,17,1,1,0,1,arc elimination polynomial,"arc elimination polynomial###digraph###D###ξ(D;x,y,z)###ξ(D_-e;x,y,z)###y###ξ(G_/e;x,y,z)###z###ξ(G_† e;x,y,z)###E(D)###ξ(G_1∪ G_2;x,y,z)###ξ(G_1;x,y,z)###ξ(G_2;x,y,z)###E_1###x###E_0###1"
4,4,1,0,8,4,fan;f;a;n,fan###far-apart nine###generator###𝒮_3(2)
1,6,0,0,1,1,generically satisfy,"property P###words of reduced length###generically satisfy P###submodules###ranks###property P(ϕ(x,y))"
1,9,0,0,1,1,abstract,MD-graphs###abstract graph###support###flow###digraph###equivalence relation###subdivision###directed edges###nonzero flow
1,2,1,0,0,1,reduced wordlength,reduced wordlength###reduced length
2,2,2,1,1,2,commutator length;stable commutator length,commutator length###stable commutator length
2,2,1,0,0,1,complete digraph;flow,flow###cone
2,15,1,0,0,1,weight-function;disc-vectors,h_z###W_n###(h_z(f))_i###∑_j=1^n z^(i)_j###_j(f)###vanishing###homological triviality###loop###representing vectors###cone V(z)###flows###nonzero integral vectors###connected support###set D(z)###disc-vectors
3,7,2,0,0,2,a posteriori;sail;Klein-function,rational###finite sided flow-polyhedron###sail###Klein-function###1-homogeneous function###ray###closest point###
2,1,0,0,2,2,paired vectors;unit-outflow vectors,"M_n, paired vectors, Y(x,y), V(x), V(y), Y_1(x,y), unit-outflow vectors, Y_1^n"
1,4,0,1,0,0,extremal point of S,extremal point###subset###vector###convex combination###
1,8,0,2,0,1,polyhedron associated to w,MD-graph###edge-weights###nonzero###nonnegative###integral flows###polyhedron###associated to w###Q_w
1,4,1,2,0,1,essential disc-vector,essential disc-vector###D###nontrivial sum###V
1,7,1,0,0,1,distance-hereditary,"distance-hereditary###connected graph###induced subgraph###(u,v)###V(H)###d_G(u,v)###d_H(u,v)"
2,3,2,0,0,2,chordal;triangulated,chordal###triangulated###C_⩾ 4-free
1,6,0,1,0,0,al­ter­na­ted path,alternated path###graph-labeled tree###leaves###path###adjacent edges###E(G_v)
2,9,2,2,0,2,original graph;accessibility graph,graph###original graph###accessibility graph###graph-labeled tree###leaf set###graph G###V(G)###E(G)###accessible
1,11,1,0,0,1,split,split###graph###vertex set###bipartition###V_1###V_2###∪###∅###N(V_1)###adjacent###N(V_2)
1,4,1,0,0,1,center-center path,totally decomposable graph###reduced clique-star split-decomposition tree###center-center path###star-nodes
1,10,1,0,0,1,clique-center path,clique-center path###alternated path###star-node###clique-node###interior edge###graph###reduced clique-star split-decomposition tree###totally decomposable graph###marker vertex###V(T)
1,4,1,0,0,1,weakly geodetic,weakly geodetic###vertices###distance###unique common neighbour
1,13,1,0,1,1,ptolemaic,"ptolemaic###ptolemaic inequality###graph###connected component###vertices###d_G(u,v)###d_G(w,x)###d_G(u,w)###d_G(v,x)###d_G(u,x)###d_G(v,w)###chordal###distance-hereditary"
1,4,1,0,0,1,cactus,cactus###connected graphs###edge###cycle
1,13,1,2,0,1,Region vector,region vector###vertex###G^∞###coordinate###v###d_i###z_i(v)###N###f_i+1###L_i+1(v)###f_i-1###L_i-1(v)###Figure
3,16,3,1,1,3,Type 1;Type 2;Type 2.i,toroidal graph###Schnyder wood###i-cycles###non contractible###non intersecting###fully-homotopic###monochromatic cycles###homotopic###intersect###Type 1###color i###Type 2###Type 2.i###toroidal triangulation###oriented###two directions###
1,2,1,0,0,1,Schnyder wood,Schnyder wood###Schnyder property
1,9,0,0,0,0,(toroidal) Schnyder wood,toroidal Schnyder wood###toroidal graph###orientation###coloring###edges###colors###directions###Schnyder property###monochromatic cycle
2,12,1,1,0,1,suspension;(planar) Schnyder wood,Planar Schnyder wood###planar map###suspension###Schnyder wood###orientation###coloring###edges###colors###directions###Schnyder property###half-edge###monochromatic cycle
1,12,1,1,0,1,region vector,region vector###vertex###G^∞###coordinate###d_i###z_i(v)###N###f_i+1###L_i+1(v)###f_i-1###L_i-1(v)###Figure
1,6,1,0,0,1,labeled,"Euler system C###4-regular graph F###labeled###trio of functions ϕ_C, χ_C, ψ_C###mapping###commutative ring R"
1,14,0,0,1,1,labeled local complement,labeled local complement G_λ^v###labeled graph###toggling adjacencies###distinct neighbors###label changes###ϕ_G_λ^v(v)###ψ_G(v)###ψ_G_λ^v(v)###ϕ_G(v)###w###neighbors v###χ_G_λ^v(w)###ψ_G(w)###χ_G(w)
1,1,0,0,1,1,labeled local complement,"labeled local complement, P, 𝒫_λ(G), labeled partition, P_λ^v, 𝒫(G_λ^v), ϕ(P_λ^v), ψ(P), ϕ(P), ψ(P_λ^v), χ(P_λ^v), χ(P)"
1,12,1,2,0,1,labeled interlace polynomial,labeled interlace polynomial###G###R###𝒫_λ(G)###P###ϕ(P)###ϕ_G(v)###χ(P)###χ_G(v)###ψ(P)###ψ_G(v)###y^ν(G_P)
1,8,1,0,0,1,simplification,simplification###labeled simple graph###looped vertices###G_simp###interchanging###χ(v)###ψ(v)###removing loops
1,1,0,0,0,0,2-label interlace polynomial,"𝒫_λ0, q_λ, ψ, ϕ, ϕ_G, χ, χ_G, y, ν, G_P"
1,5,1,0,0,1,vertex-nullity interlace polynomial,vertex-nullity interlace polynomial###G###q_N(G)###V(G)###S
1,5,1,0,0,1,interlace polynomial,interlace polynomial###graph###V(G)###S###ν(G[S])
2,7,2,0,1,2,join;split,join###disjoint simple graphs###vertices###union###split###labeled###inherit labels
1,5,1,1,0,1,split reduction,split reduction###graph###split###vertex###N(h)
2,1,0,0,1,1,type;labels,"P, S, type 1, type 2, type 3, ν(H_P^S), ν(H_P), ν(H_P^Sℓ), ϕ(H,S), χ(H,S), ψ(H,S), 𝒫_λ(H), ϕ(P), ϕ_G(v), χ(P), χ_G(v), ψ(P), ψ_G(v), y, ν(H_P)"
1,10,1,0,0,1,split width,"sw(G)###graph G###split width###integer###conditions###V(G)###G=(H,S)∗(K,T)###max###V(H)###(({h_S},{h_S})∗(K,T))"
1,7,1,3,0,1,"even [a,b]-factor","even [a,b]-factor###spanning subgraph###d_H(v)###even###a###b###V(G)"
1,7,1,1,0,1,special;special,"special###vertex###B###e(G_v,A^red)###1/5^5 n2###A###e(G_v,B^red)"
1,1,0,0,1,1,butterfly,"disjoint sets, vertices, red butterfly, hyperedges, red, blue, complete directed bipartite graph, directed graph, vertex set, arc set"
4,9,3,2,0,3,satisfactory;sink;D is a simple directed graph with no satisfactory vertices;minimal criminal,satisfactory###sink###counterexamples###Seymour's Second Neighborhood Conjecture###graphs###edges###vertices###minimal criminal###Conjecture
5,14,0,0,0,0,walkable neighborhood;anti-satisfaction;base of a transitive triangle;2-directed diamond;bases,"W_D(u)###A_s,D(u)###A_s(v)###E(T)###N_1(u)###N_2(u)###V(D)###(u,v)###(t,u)###(u,w)###(t,v)###(v,w)###(t,u)###(t,v)"
3,4,2,2,2,3,tight;tight clique;cluster,tight###clique###maximal tight clique###cluster
1,1,0,0,0,0,folding of G at T,"clique, folding, graph, cluster, size, edges, maximal tight clique"
2,3,1,0,1,2,triangles;cherries,μ(G)####triangles###cherries
1,1,1,0,0,1,foldable,foldable###
2,9,2,1,0,2,lex graph;lex order,lex graph###vertex set###edge set###lex order###𝒫([n])###A<B###min(A B)###A###B
3,16,2,1,1,2,threshold graph;code;join,threshold graph###graph###inductively###K_1###isolated vertex###dominating vertex###vertex set###binary sequence###length###isolates###concatenation###join###disjoint vertex sets###edge set###number of 0s###number of 1s
1,4,0,4,0,0,compression of G from x to y,G###compression###x###y
1,6,1,1,0,1,dischargeable,dischargeable###graph R###∑_v∈ S (d_R(v)-1)###t###2e(R)###s
4,5,1,0,3,4,generalized;tableau;content;semistandard,semistandard###generalized α-tableau###content β###partitions of n###Young diagram
4,15,4,3,0,4,cell complex;faces;edges;boundary function,cell complex###faces###edges###boundary function###boundary###A###a_1###a_n###A^-1###a_n^-1###a_1^-1###A_1###A_2###K###disjoint systems
1,19,0,5,0,0,an elementary subdivision of,elementary subdivision###K###K'###edges###a###a^-1###bc###c^-1b^-1###boundaries###b###c###new edges###face###A###A'###A”###a_1⋯ a_pa_p+1⋯ a_n###d###new edge
3,13,2,0,1,3,connected map;faces;map,connected map###connected graph###connected surface###vertices###edges###continuous curves###complement###disjoint union###connected components###faces###homeomorphic###open disc###surface
1,3,1,0,2,1,genus,genus###Euler genus###signed genus
1,22,0,1,0,0,deleting,"edge deletion###map###M###e###M\ e###(θ',σ',τ';C')###C'###a###θ a###σ a###θσ a###b###θ'b###σ'b###τ'b###j###τ^jb###τ^2 b###τ^3 b###Empty cycles###τ###τ'"
1,17,1,1,0,1,contracting,"Map edge contraction###map###edge###contracting###permutations###C###θ###σ###τ###b###θ""###σ""###τ""###C""###τθστ###Empty cycles###crosses"
1,18,1,2,0,1,surface Tutte polynomial,Tutte polynomial###map###surface Tutte polynomial###multivariate polynomial###indeterminates###variables###sequences###infinite sequences###indexed###polynomial###sum###subset###complement###signed genus###negative###non-orientably embedded###positive###orientably embedded
1,1,0,0,0,0,canonical subgeometry,"_q^t, _q-vector subspace, _q^t(V), W, _q^t, V, Σ', W^*"
1,2,1,0,0,1,linear set of pseudoregulus type,linear set of pseudoregulus type###projectively equivalent###
1,13,0,1,0,0,(Hasse) Derivative,"Hasse derivative###P###X⃗###non-negative vector###th###derivative###P^(i⃗)(X⃗)###coefficient###𝐙^###polynomial###P̃(X⃗, Z⃗)###P(X⃗ + Z⃗)###Z⃗"
1,4,1,0,0,1,Multiplicity,multiplicity###non-negative vector###integer###arbitrarily large###
1,2,1,0,0,1,Extractor,extractor###explicit
3,16,3,2,0,3,k-correspondence assignment;C-coloring;correspondence chromatic number,k-correspondence assignment###C-coloring###correspondence chromatic number###G###G⃗###graph###orientation###E(G⃗)###edge###injective###total###function###C_e###[k]###f###V(G)
1,20,1,1,0,1,supportive restriction,subset###Σ###restriction###π_Σ###matrices###supported###supportive restriction###image###subset###tropical torus###dimension###d(n-d)###fibers###single orbits###left diagonal###^d action###tropical matrices###acts###adding constants###rows
3,6,3,1,1,3,categorical product;lexicographic product;deleted lexicographic product,categorical product###lexicographic product###deleted lexicographic product###Kronecker product###direct product###tensor product
2,7,2,1,0,2,irreducibly;primitively,transitive###primitive###irreducibly###basic###primitively###preserves###direct sum decomposition###
2,6,2,1,1,2,feasible cone;pointed feasible cone,polyhedron###face###feasible cone###pointed feasible cone###relative interior point###independent
4,8,4,1,1,4,double graph;Jigsaw percolation;percolation;solved,double graph###Jigsaw percolation###partition###vertex set###edges###connected components###percolation###solved
1,2,0,0,1,1,internally spanned,"internally spanned set###I(G,m)"
2,15,2,0,0,2,rounds;steps,active vertices###discarded vertices###trial vertices###rounds###steps###sprinkling###edges###vertices###algorithm###partition###disjoint union###arbitrary###element###STOP###log n###
2,9,2,0,0,2,trial set;active set,trial set###active set###double graphs###step###vertices###edges###sprinkling###STOP###arbitrary set###
1,2,1,0,0,1,decomposition point,decomposable###decomposition point
1,1,1,0,0,1,marked point,marked point###
1,6,1,0,0,1,special,special###facet###polytope###reflexive###cone###vertices
1,11,1,1,0,1,good pair of edges,good pair of edges###good pair###2-edge-colored graph###vertex disjoint alternating cycles###c(vw)###c(v^rw^r)###c(v^bw^b)###red###blue###V(C_1)###V(C_2)
