term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def
Cut-vertex; Bridge,"A vertex which separates two other vertices of the same component is a
\emph{cut-vertex} , and an edge separating its ends is a \emph{bridge} .
Thus, the bridges in a graph are precisely those edges that do not lie on
any cycle.
%",/home/shufan/que_tex/RR-6481.tex,definition[],"A vertex which separates two other vertices of the same component is a
cut-vertex , and an edge separating its ends is a bridge .
Thus, the bridges in a graph are precisely those edges that do not lie on
any cycle.
",Cut-vertex; Bridge,"A vertex which separates two other vertices of the same component is a
cut-vertex , and an edge separating its ends is a bridge .
Thus, the bridges in a graph are precisely those edges that do not lie on
any cycle.
"
Commutators and weights,"We define \emph{(formal) commutators} in the letters $x_1,\ldots,x_r$ recursively by defining each $x_i$ to be a formal commutator and, given two formal commutators $\alpha,\alpha'$ in the $x_j$, defining $[\alpha,\alpha']$ also to be a formal commutator.

To each commutator $\alpha$ we assign a \emph{weight vector} $\chi(\alpha)\in\N_0^r$, defined recursively by setting $\chi(x_i):=e_i$ and, given two formal commutators $\alpha,\alpha'$ in the $x_j$, defining $\chi([\alpha,\alpha'])=\chi(\alpha)+\chi(\alpha')$. We define the \emph{total weight} $|\chi(\alpha)|$ of a commutator $\alpha$ to be $\|\chi(\alpha)\|_1$. Given a weight vector $\chi\in\N_0^r$ and a vector $L=(L_1,\ldots,L_r)$ of positive integers we write $L^\chi$ to denote the quantity $L_1^{\chi_1}\cdots L_r^{\chi_r}$.

Noting that this results in at most finitely many commutators of any given weight vector, we assign a fixed total ordering $\prec$ to the commutators, chosen arbitrarily subject to the conditions that $x_1\prec\ldots\prec x_r$, that commutators of the same weight vector are consecutive, and that commutators of lower total weight come before commutators of higher total weight.

Finally, for each commutator $\alpha$ we define the \emph{(formal) inverse commutator} $\alpha^{-1}$. 
We extend $\prec$ to a partial ordering of commutators and their formal inverses, defining $\alpha^{\pm1}\prec\beta^{\pm1}$ when $\alpha\prec\beta$.",/home/shufan/que_tex/1211.3989.tex,definition[],"We define (formal) commutators in the letters x_1,…,x_r recursively by defining each x_i to be a formal commutator and, given two formal commutators α,α' in the x_j, defining [α,α'] also to be a formal commutator.

To each commutator α we assign a weight vector χ(α)∈_0^r, defined recursively by setting χ(x_i):=e_i and, given two formal commutators α,α' in the x_j, defining χ([α,α'])=χ(α)+χ(α'). We define the total weight |χ(α)| of a commutator α to be χ(α)_1. Given a weight vector χ∈_0^r and a vector L=(L_1,…,L_r) of positive integers we write L^χ to denote the quantity L_1^χ_1⋯ L_r^χ_r.

Noting that this results in at most finitely many commutators of any given weight vector, we assign a fixed total ordering ≺ to the commutators, chosen arbitrarily subject to the conditions that x_1≺…≺ x_r, that commutators of the same weight vector are consecutive, and that commutators of lower total weight come before commutators of higher total weight.

Finally, for each commutator α we define the (formal) inverse commutator α^-1. 
We extend ≺ to a partial ordering of commutators and their formal inverses, defining α^±1≺β^±1 when α≺β.",Commutators and weights,"We define (formal) commutators in the letters x_1,…,x_r recursively by defining each x_i to be a formal commutator and, given two formal commutators α,α' in the x_j, defining [α,α'] also to be a formal commutator.

To each commutator α we assign a weight vector χ(α)∈_0^r, defined recursively by setting χ(x_i):=e_i and, given two formal commutators α,α' in the x_j, defining χ([α,α'])=χ(α)+χ(α'). We define the total weight |χ(α)| of a commutator α to be χ(α)_1. Given a weight vector χ∈_0^r and a vector L=(L_1,…,L_r) of positive integers we write L^χ to denote the quantity L_1^χ_1⋯ L_r^χ_r.

Noting that this results in at most finitely many commutators of any given weight vector, we assign a fixed total ordering ≺ to the commutators, chosen arbitrarily subject to the conditions that x_1≺…≺ x_r, that commutators of the same weight vector are consecutive, and that commutators of lower total weight come before commutators of higher total weight.

Finally, for each commutator α we define the (formal) inverse commutator α^-1. 
We extend ≺ to a partial ordering of commutators and their formal inverses, defining α^±1≺β^±1 when α≺β."
The collecting process {\cite[\S11.1,"{hall}}]
Let $a:=a_1\cdots a_n$ be a string of commutators, and their inverses, involving elements $x_1,\ldots,x_r$ of an $s$-step nilpotent group. We say that $a$ is in \emph{collected form} if $a_1\prec\ldots\prec a_n$. For $m\in[0,n]$ we say that $a$ has \emph{collected part} $a_1\cdots a_m$ if $a_1\prec\ldots\prec a_m$ and $a_m\prec a_i$ for $i>m$ but $a_{m+1}\succ a_j$ for some $j>m+1$. The string $a_{m+1}\cdots a_n$ is called the \emph{uncollected part} of $a$.

We define a \emph{collecting operator} $\mathcal{C}$ on the set of strings of commutators as follows. If $a$ is in collected form then we simply define $\mathcal{C}(a):=a$. If $a$ is not in collected form then write $\beta$ for the commutator earliest with respect to the order $\prec$ such that $\beta^{\pm1}$ appears in the uncollected part of $a$, and suppose that $a_j$ is the leftmost of the $a_i$ in the uncollected part that is equal to $\beta^{\pm1}$. Write $\alpha$ for the commutator satisfying $a_{j-1}=\alpha^{\pm1}$, and define $\alpha_1:=[\alpha,\beta]$ and $\alpha_{i+1}:=[\alpha_i,\beta]$ for $i=2,\ldots,s-1$. Define $\alpha_i$ to be trivial for $i\ge s$.

If $a_j=\beta$ and $a_{j-1}=\alpha$ then
\[
\mathcal{C}(a):=a_1\cdots a_{j-2}\beta\alpha[\alpha,\beta]a_{j+1}\cdots a_n,
\]
and we say that $\mathcal{C}$ performs a \emph{transformation of type 1} on $a$. If $a_j=\beta$ and $a_{j-1}=\alpha^{-1}$ then
\[
\mathcal{C}(a):=a_1\cdots a_{j-2}\beta[\alpha,\beta]^{-1}\alpha^{-1}a_{j+1}\cdots a_n,
\]
and we say that $\mathcal{C}$ performs a \emph{transformation of type 2} on $a$. If $a_j=\beta^{-1}$ and $a_{j-1}=\alpha$ then
\[
\mathcal{C}(a):=a_1\cdots a_{j-2}\beta^{-1}\alpha\alpha_2\alpha_4\cdots\alpha_5^{-1}\alpha_3^{-1}\alpha_1^{-1}a_{j+1}\cdots a_n,
\]
and we say that $\mathcal{C}$ performs a \emph{transformation of type 3} on $a$. If $a_j=\beta^{-1}$ and $a_{j-1}=\alpha^{-1}$ then
\[
\mathcal{C}(a):=a_1\cdots a_{j-2}\beta^{-1}\alpha_1\alpha_3\alpha_5\cdots\alpha_4^{-1}\alpha_2^{-1}\alpha^{-1}a_{j+1}\cdots a_n,
\]
and we say that $\mathcal{C}$ performs a \emph{transformation of type 4} on $a$. The collecting process is then the sequence $a,\mathcal{C}(a),\mathcal{C}^2(a),\ldots$.

Finally, we will often talk about the set of \emph{copies} of a commutator in the collecting process. Each $a_i$ in the original string $a$ is said to be a copy of the commutator $\gamma$ if $a_i=\gamma$, or a copy of $\gamma^{-1}$ if $a_i=\gamma^{-1}$. The collecting operator $\mathcal{C}$ is then thought of as permuting the existing copies of the commutators and of creating a new copy of $[\alpha,\beta]$ in the case of a transformation of type 1; a new copy of $[\alpha,\beta]^{-1}$ in the case of a transformation of type 2; new copies of $\alpha_2,\alpha_4\ldots$ and $\alpha_1^{-1}\alpha_3^{-1}\ldots$ in the case of a transformation of type 3; and new copies of $\alpha_1,\alpha_3\ldots$ and $\alpha_2^{-1}\alpha_4^{-1}\ldots$ in the case of a transformation of type 4.",/home/shufan/que_tex/1211.3989.tex,definition[],"hall]
Let a:=a_1⋯ a_n be a string of commutators, and their inverses, involving elements x_1,…,x_r of an s-step nilpotent group. We say that a is in collected form if a_1≺…≺ a_n. For m∈[0,n] we say that a has collected part a_1⋯ a_m if a_1≺…≺ a_m and a_m≺ a_i for i>m but a_m+1≻ a_j for some j>m+1. The string a_m+1⋯ a_n is called the uncollected part of a.

We define a collecting operator 𝒞 on the set of strings of commutators as follows. If a is in collected form then we simply define 𝒞(a):=a. If a is not in collected form then write β for the commutator earliest with respect to the order ≺ such that β^±1 appears in the uncollected part of a, and suppose that a_j is the leftmost of the a_i in the uncollected part that is equal to β^±1. Write α for the commutator satisfying a_j-1=α^±1, and define α_1:=[α,β] and α_i+1:=[α_i,β] for i=2,…,s-1. Define α_i to be trivial for i≥ s.

If a_j=β and a_j-1=α then

    𝒞(a):=a_1⋯ a_j-2βα[α,β]a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 1 on a. If a_j=β and a_j-1=α^-1 then

    𝒞(a):=a_1⋯ a_j-2β[α,β]^-1α^-1a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 2 on a. If a_j=β^-1 and a_j-1=α then

    𝒞(a):=a_1⋯ a_j-2β^-1αα_2α_4⋯α_5^-1α_3^-1α_1^-1a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 3 on a. If a_j=β^-1 and a_j-1=α^-1 then

    𝒞(a):=a_1⋯ a_j-2β^-1α_1α_3α_5⋯α_4^-1α_2^-1α^-1a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 4 on a. The collecting process is then the sequence a,𝒞(a),𝒞^2(a),….

Finally, we will often talk about the set of copies of a commutator in the collecting process. Each a_i in the original string a is said to be a copy of the commutator γ if a_i=γ, or a copy of γ^-1 if a_i=γ^-1. The collecting operator 𝒞 is then thought of as permuting the existing copies of the commutators and of creating a new copy of [α,β] in the case of a transformation of type 1; a new copy of [α,β]^-1 in the case of a transformation of type 2; new copies of α_2,α_4… and α_1^-1α_3^-1… in the case of a transformation of type 3; and new copies of α_1,α_3… and α_2^-1α_4^-1… in the case of a transformation of type 4.",The collecting process <cit.>[11.1,"hall]
Let a:=a_1⋯ a_n be a string of commutators, and their inverses, involving elements x_1,…,x_r of an s-step nilpotent group. We say that a is in collected form if a_1≺…≺ a_n. For m∈[0,n] we say that a has collected part a_1⋯ a_m if a_1≺…≺ a_m and a_m≺ a_i for i>m but a_m+1≻ a_j for some j>m+1. The string a_m+1⋯ a_n is called the uncollected part of a.

We define a collecting operator 𝒞 on the set of strings of commutators as follows. If a is in collected form then we simply define 𝒞(a):=a. If a is not in collected form then write β for the commutator earliest with respect to the order ≺ such that β^±1 appears in the uncollected part of a, and suppose that a_j is the leftmost of the a_i in the uncollected part that is equal to β^±1. Write α for the commutator satisfying a_j-1=α^±1, and define α_1:=[α,β] and α_i+1:=[α_i,β] for i=2,…,s-1. Define α_i to be trivial for i≥ s.

If a_j=β and a_j-1=α then

    𝒞(a):=a_1⋯ a_j-2βα[α,β]a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 1 on a. If a_j=β and a_j-1=α^-1 then

    𝒞(a):=a_1⋯ a_j-2β[α,β]^-1α^-1a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 2 on a. If a_j=β^-1 and a_j-1=α then

    𝒞(a):=a_1⋯ a_j-2β^-1αα_2α_4⋯α_5^-1α_3^-1α_1^-1a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 3 on a. If a_j=β^-1 and a_j-1=α^-1 then

    𝒞(a):=a_1⋯ a_j-2β^-1α_1α_3α_5⋯α_4^-1α_2^-1α^-1a_j+1⋯ a_n,

and we say that 𝒞 performs a transformation of type 4 on a. The collecting process is then the sequence a,𝒞(a),𝒞^2(a),….

Finally, we will often talk about the set of copies of a commutator in the collecting process. Each a_i in the original string a is said to be a copy of the commutator γ if a_i=γ, or a copy of γ^-1 if a_i=γ^-1. The collecting operator 𝒞 is then thought of as permuting the existing copies of the commutators and of creating a new copy of [α,β] in the case of a transformation of type 1; a new copy of [α,β]^-1 in the case of a transformation of type 2; new copies of α_2,α_4… and α_1^-1α_3^-1… in the case of a transformation of type 3; and new copies of α_1,α_3… and α_2^-1α_4^-1… in the case of a transformation of type 4."
Arguments and components of a commutator,"To every formal commutator $\alpha$ in the letters $x_1,\ldots,x_r$ we assign a set $C(\alpha)$ of \emph{components} , defined recursively as follows. For each $i$ define $C(x_i)$ to be the singleton $\{x_i\}$ and, given two formal commutators $\alpha,\alpha'$ in the $x_i$, define $C([\alpha,\alpha']):=C(\alpha)\cup C(\alpha')\cup\{[\alpha,\alpha']\}$. We shall denote by $\alpha\sqsubset\beta$ or $\beta\sqsupset\alpha$ the fact that $\alpha$ is a component of $\beta$. The letters $x_{i_j}$ featuring in a formal commutator $\alpha$ will be called the \emph{arguments} of $\alpha$.",/home/shufan/que_tex/1211.3989.tex,definition[],"To every formal commutator α in the letters x_1,…,x_r we assign a set C(α) of components , defined recursively as follows. For each i define C(x_i) to be the singleton {x_i} and, given two formal commutators α,α' in the x_i, define C([α,α']):=C(α)∪ C(α')∪{[α,α']}. We shall denote by α⊏β or β⊐α the fact that α is a component of β. The letters x_i_j featuring in a formal commutator α will be called the arguments of α.",Arguments and components of a commutator,"To every formal commutator α in the letters x_1,…,x_r we assign a set C(α) of components , defined recursively as follows. For each i define C(x_i) to be the singleton {x_i} and, given two formal commutators α,α' in the x_i, define C([α,α']):=C(α)∪ C(α')∪{[α,α']}. We shall denote by α⊏β or β⊐α the fact that α is a component of β. The letters x_i_j featuring in a formal commutator α will be called the arguments of α."
Spectral Graph Theory,"\label{f.th:spanningtrees} The number of spanning trees of some interesting graphs are as follows.
\begin{enumerate}
\item (Complete graph): $c(K_n) = n^{n-2}$

\item (Complete bipartite graph): $c(K_{m,n}) = m^{n-1}n^{m-1}$

\item (Hyperoctahedral graph): $c(\Diamond_n) = 2^{2n-2}(n-1)^nn^{n-2}$.

\item ($n$-cube): $c(C_n) = 2^{2^n-n-1} \prod_{k=1}^n k^{n \choose k}$

\item ($n$-dimensional grid of size $m$): $c(mC_n) = m^{m^n-n-1} \prod_{k=1}^n k^{{n \choose k}(m-1)^k}$
%
%\item \comment{More? If I have time/space, I could mine Cvetkovic et. al. \emph{Spectral Graph Theory} for more results. Matroids? Root polytopes?}
\end{enumerate}
",/home/shufan/que_tex/algmethods12.tex,theorem + \emph{}," The number of spanning trees of some interesting graphs are as follows.


  * (Complete graph): c(K_n) = n^n-2


  * (Complete bipartite graph): c(K_m,n) = m^n-1n^m-1


  * (Hyperoctahedral graph): c(_n) = 2^2n-2(n-1)^nn^n-2.


  * (n-cube): c(C_n) = 2^2^n-n-1∏_k=1^n k^n  k


  * (n-dimensional grid of size m): c(mC_n) = m^m^n-n-1∏_k=1^n k^n  k(m-1)^k



",Spectral Graph Theory," The number of spanning trees of some interesting graphs are as follows.


  * (Complete graph): c(K_n) = n^n-2


  * (Complete bipartite graph): c(K_m,n) = m^n-1n^m-1


  * (Hyperoctahedral graph): c(_n) = 2^2n-2(n-1)^nn^n-2.


  * (n-cube): c(C_n) = 2^2^n-n-1∏_k=1^n k^n  k


  * (n-dimensional grid of size m): c(mC_n) = m^m^n-n-1∏_k=1^n k^n  k(m-1)^k



"
Ordering of labeled graph,"For any two members $(G,f)$ and $(G',f')$ of $C(Q)$, we define $(G,f) \leq_l (G',f')$ if
$G \leq G'$ and $f(v) \leq f'(\sigma(v))$ for all $v \in V(G)$.
Similarly $(G,f) \subseteq_l (G',f')$ if
$G \subseteq G'$ and $f(v) \leq f'(\sigma(v))$ for all $v \in V(G)$.",/home/shufan/que_tex/1703.02485.tex,definition[],"For any two members (G,f) and (G',f') of C(Q), we define (G,f) ≤_l (G',f') if
G ≤ G' and f(v) ≤ f'(σ(v)) for all v ∈ V(G).
Similarly (G,f) ⊆_l (G',f') if
G ⊆ G' and f(v) ≤ f'(σ(v)) for all v ∈ V(G).",Ordering of labeled graph,"For any two members (G,f) and (G',f') of C(Q), we define (G,f) ≤_l (G',f') if
G ≤ G' and f(v) ≤ f'(σ(v)) for all v ∈ V(G).
Similarly (G,f) ⊆_l (G',f') if
G ⊆ G' and f(v) ≤ f'(σ(v)) for all v ∈ V(G)."
Graph Distances,"\label{graphdists} The value $f_{G_{k+1,m}}(\bm x)$ is called the \emph{$G_{k+1,m}$-distance of $\bm x$}. When we restrict our domain to some set $\mathfrak X\subseteq \mathbb R^{d(k+1)}$, we call $f_{G_{k+1,m}}(\bm x)$ a \emph{$G_{k+1,m}$-distance on $\mathfrak X$} and we say that $\bm x$ is a realization of this distance in $\mathfrak X$. The set of $G_{k+1,m}$-distances on $\mathfrak X$ is $f_{G_{k+1,m}}(\mathfrak X)$ and we denote it by $\Delta(G_{k+1,m}, \mathfrak X)$.",/home/shufan/que_tex/1805.08065.tex,definition[]," The value f_G_k+1,m( x) is called the G_k+1,m-distance of x. When we restrict our domain to some set 𝔛⊆ℝ^d(k+1), we call f_G_k+1,m( x) a G_k+1,m-distance on 𝔛 and we say that x is a realization of this distance in 𝔛. The set of G_k+1,m-distances on 𝔛 is f_G_k+1,m(𝔛) and we denote it by Δ(G_k+1,m, 𝔛).",Graph Distances," The value f_G_k+1,m( x) is called the G_k+1,m-distance of x. When we restrict our domain to some set 𝔛⊆ℝ^d(k+1), we call f_G_k+1,m( x) a G_k+1,m-distance on 𝔛 and we say that x is a realization of this distance in 𝔛. The set of G_k+1,m-distances on 𝔛 is f_G_k+1,m(𝔛) and we denote it by Δ(G_k+1,m, 𝔛)."
Unique Identifiability,"\ Let $R$ be a relation on $\XxY$ and suppose $x \in X$.\\
We say that $x$ is \,\mydefem{uniquely identifiable via relation $R$}\, when
$\,\psi_R(Y_x) = \{x\}$. \label{uniqueID}",/home/shufan/que_tex/toppriv.tex,definition[]," Let R be a relation on  and suppose x ∈ X.

We say that x is  uniquely identifiable via relation R  when
ψ_R(Y_x) = {x}. ",Unique Identifiability," Let R be a relation on  and suppose x ∈ X.

We say that x is  uniquely identifiable via relation R  when
ψ_R(Y_x) = {x}. "
Conditional Attribute Relations,"\label{linkgamma}
\ Let $R$ be a nonvoid relation on $\XxY$ and suppose $\gamma \subseteq Y$.
%
\ The following \mydefem{relation $Q$ models $\lk(\dowy, \gamma)$}:

$$Q \;=\; R\,|_{\sigma \times \tY}, \quad \hbox{with} \quad
            \sigma = \psi_R(\gamma) \quad \hbox{and} \quad
	    \tY = \bigunion_{x \in \sigma}\sdiff{Y_x}{\gamma}.\phantom{00000}$$

The Dowker complexes are defined in the standard way, except for this
special case:

\vst

If $\,\tY = \emptyset$ and $\sigma\neq\emptyset$, then we
    let $\dowqy$ and $\dowqx$ be instances of the empty complex $\{\emptyset\}$.",/home/shufan/que_tex/toppriv.tex,definition[],"
 Let R be a nonvoid relation on  and suppose γ⊆ Y.

 The following relation Q models (, γ):


    Q  =  R |_σ×,   with  σ = ψ_R(γ)   and   = _x ∈σY_xγ.00000


The Dowker complexes are defined in the standard way, except for this
special case:



If = ∅ and σ≠∅, then we
    let  and  be instances of the empty complex {∅}.",Conditional Attribute Relations,"
 Let R be a nonvoid relation on  and suppose γ⊆ Y.

 The following relation Q models (, γ):


    Q  =  R |_σ×,   with  σ = ψ_R(γ)   and   = _x ∈σY_xγ.00000


The Dowker complexes are defined in the standard way, except for this
special case:



If = ∅ and σ≠∅, then we
    let  and  be instances of the empty complex {∅}."
Conditional Association Relations,"\label{linksigma}
\ Let $R$ be a nonvoid relation on $\XxY$ and suppose $\sigma \subseteq X$.
%
\ The following \mydefem{relation $Q$ models $\lk(\dowx, \sigma)$}:

$$Q \;=\; R\,|_{\tX \times \gamma}, \quad \hbox{with} \quad
            \gamma = \phi_R(\sigma) \quad \hbox{and} \quad
	    \tX = \bigunion_{y \in \gamma}\sdiff{X_y}{\sigma}.\phantom{00000}$$

The Dowker complexes are defined in the standard way, except for this
special case:

\vst

If $\,\tX = \emptyset$ and $\gamma\neq\emptyset$, then we
    let $\dowqx$ and $\dowqy$ be instances of the empty complex $\{\emptyset\}$.",/home/shufan/que_tex/toppriv.tex,definition[],"
 Let R be a nonvoid relation on  and suppose σ⊆ X.

 The following relation Q models (, σ):


    Q  =  R |_×γ,   with  γ = ϕ_R(σ)   and   = _y ∈γX_yσ.00000


The Dowker complexes are defined in the standard way, except for this
special case:



If = ∅ and γ≠∅, then we
    let  and  be instances of the empty complex {∅}.",Conditional Association Relations,"
 Let R be a nonvoid relation on  and suppose σ⊆ X.

 The following relation Q models (, σ):


    Q  =  R |_×γ,   with  γ = ϕ_R(σ)   and   = _y ∈γX_yσ.00000


The Dowker complexes are defined in the standard way, except for this
special case:



If = ∅ and γ≠∅, then we
    let  and  be instances of the empty complex {∅}."
Individual Privacy,"\label{individualprivacy}
\ Let $R$ be a relation on $\XxY$ and suppose $x \in X$.

We say that \mydefem{$R$ preserves attribute privacy for $x$} whenever
$(\clsy)(\gamma) = \gamma$ for all $\gamma \subseteq Y_x$.

\vspace*{0.05in}

Informally, we may also say that \mydefem{\,individual $x$ has full
attribute privacy}.",/home/shufan/que_tex/toppriv.tex,definition[],"
 Let R be a relation on  and suppose x ∈ X.

We say that R preserves attribute privacy for x whenever
()(γ) = γ for all γ⊆ Y_x.




Informally, we may also say that  individual x has full
attribute privacy.",Individual Privacy,"
 Let R be a relation on  and suppose x ∈ X.

We say that R preserves attribute privacy for x whenever
()(γ) = γ for all γ⊆ Y_x.




Informally, we may also say that  individual x has full
attribute privacy."
Isotropy,"\label{isotropydef}
Let $R$ be a relation on $\XxY$, with both $\hspt{}X\!$ and
$\hspt{}Y\!$ nonempty.

Suppose $\emptyset \neq \gamma \subseteq Y$.

We say that $\gamma\!$ is \mydefem{isotropic} if every possible
ordering of all the elements in $\gamma$ forms an informative attribute
release sequence for $R$.",/home/shufan/que_tex/toppriv.tex,definition[],"
Let R be a relation on , with both X and
Y nonempty.

Suppose ∅≠γ⊆ Y.

We say that γ is isotropic if every possible
ordering of all the elements in γ forms an informative attribute
release sequence for R.",Isotropy,"
Let R be a relation on , with both X and
Y nonempty.

Suppose ∅≠γ⊆ Y.

We say that γ is isotropic if every possible
ordering of all the elements in γ forms an informative attribute
release sequence for R."
Identification and Minimal Identification,"\label{DefMinIdent}
Let $R$ be a relation on $\XxY$, with both $\hspt{}X\!$ and
$\hspt{}Y\!$ nonempty.

We say that a set of attributes $\gamma \subseteq Y$
\mydefem{identifies} a set of individuals $\sigma \subseteq X$ in $R$
when $\psi_R(\gamma) = \sigma$.  \quad (We sometimes alternatively say
that $\gamma$ \mydefem{localizes to} $\sigma$ in $R$.)

\vspace*{0.1in}

We say that $\gamma$ is \mydefem{minimally identifying (for $\sigma$)}
if both the following conditions hold:

\vspace*{0.075in}

\hspace*{0.4in}\begin{minipage}{3.5in}
\begin{enumerate}
\addtolength{\itemsep}{-2pt}
\item[(i)] $\psi_R(\gamma) = \sigma$.
\item[(ii)] $\psi_R(\gamma^\prime) \supsetneq \sigma$ for every
  $\gamma^\prime \subsetneq \gamma$.
\end{enumerate}
\end{minipage}",/home/shufan/que_tex/toppriv.tex,definition[],"
Let R be a relation on , with both X and
Y nonempty.

We say that a set of attributes γ⊆ Y
identifies a set of individuals σ⊆ X in R
when ψ_R(γ) = σ.    (We sometimes alternatively say
that γ localizes to σ in R.)




We say that γ is minimally identifying (for σ)
if both the following conditions hold:




3.5in

-2pt

  (i) ψ_R(γ) = σ.

  (ii) ψ_R(γ^') ⊋σ for every
  γ^'⊊γ.

",Identification and Minimal Identification,"
Let R be a relation on , with both X and
Y nonempty.

We say that a set of attributes γ⊆ Y
identifies a set of individuals σ⊆ X in R
when ψ_R(γ) = σ.    (We sometimes alternatively say
that γ localizes to σ in R.)




We say that γ is minimally identifying (for σ)
if both the following conditions hold:




3.5in

-2pt

  (i) ψ_R(γ) = σ.

  (ii) ψ_R(γ^') ⊋σ for every
  γ^'⊊γ.

"
Identification Lengths,"\label{DefIdentLengths}
Let $R$ be a relation on $\XxY$, with both $\hspt{}X\!$ and $\hspt{}Y$
nonempty. \ Suppose $(\sigma, \gamma) \in \PR$.
%
\ Define the \mydefem{fast} and \mydefem{slow attribute release lengths}
for $\sigma$ as:

\vspace*{0.075in}

\hspace*{0.7in}\begin{minipage}{5in}
$\rfast(\sigma) =
 \min{\setdefbV{\,\abs{\chi}}{\hbox{$\chi\subseteq\gamma$ and $\psi_R(\chi)=\sigma$}}}$.

\vspace*{0.075in}

$\rslow(\sigma) = \max{\setdefbV{\,k}{\hbox{$y_1, \ldots,
  y_k$ is an iars for $R$ and $\psi_R\big(\{y_1, \ldots, y_k\}\big) = \sigma$}}}$.

\end{minipage}",/home/shufan/que_tex/toppriv.tex,definition[],"
Let R be a relation on , with both X and Y
nonempty.  Suppose (σ, γ) ∈.

 Define the fast and slow attribute release lengths
for σ as:




5in
(σ) =
 min χχ⊆γ and ψ_R(χ)=σ.




(σ) = max ky_1, …,
  y_k is an iars for R and ψ_R({y_1, …, y_k}) = σ.

",Identification Lengths,"
Let R be a relation on , with both X and Y
nonempty.  Suppose (σ, γ) ∈.

 Define the fast and slow attribute release lengths
for σ as:




5in
(σ) =
 min χχ⊆γ and ψ_R(χ)=σ.




(σ) = max ky_1, …,
  y_k is an iars for R and ψ_R({y_1, …, y_k}) = σ.

"
Restricted Link,"\label{restrictedlink}
Let $R$ be a relation on $\XxY$, with both $\hspt{}X\!$ and
$\hspt{}Y\!$ nonempty.

\vspace*{0.02in}

Suppose $\sigma \in \dowx$ and $\gamma \subseteq \phi_R(\sigma)$.

\vspace*{0.02in}

Define relation $Q(\sigma, \gamma)$ as follows:

\vspace*{-0.1in}

$$Q(\sigma, \gamma) \;=\; R\,|_{\tX \times \gamma}, \quad \hbox{with} \quad
            \tX = \bigunion_{y \in \gamma}\sdiff{X_y}{\sigma}.$$

\vspace*{-0.05in}

The Dowker complexes are defined in the standard way, except for these special cases:

\vspace*{0.05in}

\hspace*{0.2in}\begin{minipage}{6in}

If $\sigma=X$, we let $\dqx$ and $\dqy$ be instances of the void complex $\emptyset$.

If $\sigma \neq X$ but $\tX = \emptyset$, we let $\dqx$ and $\dqy$
be instances of the empty complex $\{\emptyset\}$.
\end{minipage}

\vspace*{0.1in}

We say that $Q(\sigma, \gamma)$ \mydefem{models the link of $\sigma$
restricted to $\gamma$}.",/home/shufan/que_tex/toppriv.tex,definition[],"
Let R be a relation on , with both X and
Y nonempty.




Suppose σ∈ and γ⊆ϕ_R(σ).




Define relation Q(σ, γ) as follows:





    Q(σ, γ)  =  R |_×γ,   with   = _y ∈γX_yσ.





The Dowker complexes are defined in the standard way, except for these special cases:




6in

If σ=X, we let  and  be instances of the void complex ∅.

If σ≠ X but = ∅, we let  and 
be instances of the empty complex {∅}.





We say that Q(σ, γ) models the link of σ
restricted to γ.",Restricted Link,"
Let R be a relation on , with both X and
Y nonempty.




Suppose σ∈ and γ⊆ϕ_R(σ).




Define relation Q(σ, γ) as follows:





    Q(σ, γ)  =  R |_×γ,   with   = _y ∈γX_yσ.





The Dowker complexes are defined in the standard way, except for these special cases:




6in

If σ=X, we let  and  be instances of the void complex ∅.

If σ≠ X but = ∅, we let  and 
be instances of the empty complex {∅}.





We say that Q(σ, γ) models the link of σ
restricted to γ."
Almost a Join-Based Lattice,"\label{almostlattice}
  \, Let $P$ be a finite poset.  We say that $P$ is \,\mydefem{almost}
  \mydefem{a join-based lattice} if adjoining a new topmost element
  $\topone$ means $P \union \{\topone\}$ is a join semi-lattice.",/home/shufan/que_tex/toppriv.tex,definition[],"
    Let P be a finite poset.  We say that P is  almost
  a join-based lattice if adjoining a new topmost element
   means P {} is a join semi-lattice.",Almost a Join-Based Lattice,"
    Let P be a finite poset.  We say that P is  almost
  a join-based lattice if adjoining a new topmost element
   means P {} is a join semi-lattice."
