term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
-biased recursive tree ($p$-BRT);-recursive tree,"
The random tree $\mathcal{T}_n'$ described in  previous paragraph
will be called a $p$\emph{-biased recursive tree ($p$-BRT)} . When
$p$ is the uniform distribution over $[a]$, $a\geq 2$, we call
$\mathcal{T}_n'$ an $a$\emph{-recursive tree} ($a$-RT).
",/home/shufan/que_tex/1801.04617.tex,definition + \emph{},"
The random tree 𝒯_n' described in  previous paragraph
will be called a p-biased recursive tree (p-BRT) . When
p is the uniform distribution over [a], a≥ 2, we call
𝒯_n' an a-recursive tree (a-RT).
",-biased recursive tree (p-BRT);-recursive tree,"
The random tree 𝒯_n' described in  previous paragraph
will be called a pB_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM . When
p is the uniform distribution over [a], a≥ 2, we call
𝒯_n' an aB_MATH_TERM I_MATH_TERM (a-RT).
",O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O I_MATH_TERM O
-jumbled graph;-jumbled,"[Jumbledness for graphs]
 We say that $\Gamma=(V,E_\Gamma)$ is a $(p,\beta)$\emph{-jumbled graph} if, for all subsets $X$, 
$Y\subset V$, we have 
$\big|e_{\Gamma}(X,Y) - p|X||Y|\big|\leq 
\beta\sqrt{|X||Y|}$.
Furthermore, a bipartite graph $\Gamma_B=(U,V;E)$ is called  
$(p,\beta)$\emph{-jumbled} if, for all $X\subset U$ and 
$Y\subset V$, we have $|e_{\Gamma}(X,Y) - p|X||Y|\big|\leq \beta\sqrt{|X||Y|}$.
",/home/shufan/que_tex/1602.08784.tex,definition + \emph{},"[Jumbledness for graphs]
 We say that Γ=(V,E_Γ) is a (p,β)-jumbled graph if, for all subsets X, 
Y⊂ V, we have 
|e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
Furthermore, a bipartite graph Γ_B=(U,V;E) is called  
(p,β)-jumbled if, for all X⊂ U and 
Y⊂ V, we have |e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
",-jumbled graph;-jumbled,"[Jumbledness for graphs]
 We say that Γ=(V,E_Γ) is a (p,β)B_MATH_TERM I_MATH_TERM if, for all subsets X, 
Y⊂ V, we have 
|e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
Furthermore, a bipartite graph Γ_B=(U,V;E) is called  
(p,β)B_MATH_TERM if, for all X⊂ U and 
Y⊂ V, we have |e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
",O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
metric antidimension;antiresolving basis,"[$k$-metric antidimension and $k$-antiresolving basis]\label{def_metric_antidimension}
The $k$-\emph{metric antidimension} of a simple connected graph $G = (V, E)$ is the
minimum cardinality amongst the $k$-antiresolving sets in $G$ and is denoted by $\adim_k(G)$. A $k$-antiresolving set of cardinality $\adim_k(G)$ is called a $k$-\emph{antiresolving basis} for $G$.
",/home/shufan/que_tex/k-antiresolving.tex,definition + \emph{},"[k-metric antidimension and k-antiresolving basis]
The k-metric antidimension of a simple connected graph G = (V, E) is the
minimum cardinality amongst the k-antiresolving sets in G and is denoted by _k(G). A k-antiresolving set of cardinality _k(G) is called a k-antiresolving basis for G.
",metric antidimension;antiresolving basis,"[k-metric antidimension and k-antiresolving basis]
The k-B_MATH_TERM I_MATH_TERM of a simple connected graph G = (V, E) is the
minimum cardinality amongst the k-antiresolving sets in G and is denoted by _k(G). A k-antiresolving set of cardinality _k(G) is called a k-B_MATH_TERM I_MATH_TERM for G.
",O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O
metric antidimensional,"[$k$-metric antidimensional graph]
A simple connected graph $G = (V, E)$ is $k$-\emph{metric antidimensional} , if
$k$ is the largest integer such that $G$ contains a $k$-antiresolving set.
",/home/shufan/que_tex/k-antiresolving.tex,definition + \emph{},"[k-metric antidimensional graph]
A simple connected graph G = (V, E) is k-metric antidimensional , if
k is the largest integer such that G contains a k-antiresolving set.
",metric antidimensional,"[k-metric antidimensional graph]
A simple connected graph G = (V, E) is k-B_MATH_TERM I_MATH_TERM , if
k is the largest integer such that G contains a k-antiresolving set.
",O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O
exploding path,"
For $\delta>0$, we call a path $P=v_1,v_2,\dots,v_m$ in $G$ a $\delta$-\emph{exploding path}
if $v_m\in \core(G)$ and $t_{v_{i+1}}\geq (1+\delta)t_{v_i}$ for $1\leq i\leq m-2$.
",/home/shufan/que_tex/1506.07811.tex,definition + \emph{},"
For δ>0, we call a path P=v_1,v_2,…,v_m in G a δ-exploding path
if v_m∈(G) and t_v_i+1≥ (1+δ)t_v_i for 1≤ i≤ m-2.
",exploding path,"
For δ>0, we call a path P=v_1,v_2,…,v_m in G a δ-B_MATH_TERM I_MATH_TERM
if v_m∈(G) and t_v_i+1≥ (1+δ)t_v_i for 1≤ i≤ m-2.
",O O O O O O O O O O O I_MATH_TERM O O O O O O O O O
compact set,"A finite set of integers $A$ is a $2t+2$-\emph{compact set} if and only if the following conditions hold:
\begin{itemize}
\item[(i)] $-1,-2, \ldots, -2t-1$ belong to $A$;
\item[(ii)] for all $a \in A$ such that $a \neq -1,-2, \ldots, -2t-1$, we have $a \geq 1$ and $a \not\equiv 0~\mbox{mod~} 2t+2$;
\item[(iii)] let $b>a \geq 1$ be two integers such that $a \equiv b$ mod $2t+2$. If $b \in A$, then $a \in A$.
\end{itemize}
",/home/shufan/que_tex/A_Nekrasov-Okounkov_type_formula_for_C.tex,definition + \emph{},"A finite set of integers A is a 2t+2-compact set if and only if the following conditions hold:


  (i) -1,-2, …, -2t-1 belong to A;

  (ii) for all a ∈ A such that a ≠ -1,-2, …, -2t-1, we have a ≥ 1 and a ≢0  2t+2;

  (iii) let b>a ≥ 1 be two integers such that a ≡ b mod 2t+2. If b ∈ A, then a ∈ A.

",compact set,"A finite set of integers A is a 2t+2-B_MATH_TERM I_MATH_TERM if and only if the following conditions hold:


  (i) -1,-2, …, -2t-1 belong to A;

  (ii) for all a ∈ A such that a ≠ -1,-2, …, -2t-1, we have a ≥ 1 and a ≢0  2t+2;

  (iii) let b>a ≥ 1 be two integers such that a ≡ b mod 2t+2. If b ∈ A, then a ∈ A.

",O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Binomial complexity,"Let $\mathbf{x}$ be an infinite word. The $k$-binomial complexity function of $\mathbf{x}$ is defined as
$$b_{\mathbf{x},k}:\mathbb{N}\to\mathbb{N},\ n\mapsto \# \left( \Fac_n(\mathbf{x})/\!\sim_k\right)$$
where $\Fac_n(\textbf{x})$ is the set of factors of length $n$ occurring in $\textbf{x}$.",/home/shufan/que_tex/1812.07330.tex,definition[],"Let 𝐱 be an infinite word. The k-binomial complexity function of 𝐱 is defined as

    b_𝐱,k:ℕ→ℕ, n↦#( _n(𝐱)/∼_k)

where _n(x) is the set of factors of length n occurring in x.",Binomial complexity,"Let 𝐱 be an infinite word. The k-B_MATH_TERM I_MATH_TERM function of 𝐱 is defined as

    b_𝐱,k:ℕ→ℕ, n↦#( _n(𝐱)/∼_k)

where _n(x) is the set of factors of length n occurring in x.",O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O
-counting bounded,"\label{def:countingthin}
Let $\alpha \geq 0$ and $0 < K < \infty$.  A (possibly finite) set $E \subseteq \Z^d$ is $(K,\alpha)$\emph{-counting bounded} if for all cubes $C \subseteq \R^d$ with $\|C\| \geq 1$, $|E \cap C| \leq K \|C\|^\alpha$.
",/home/shufan/que_tex/marstrand-type_theorems_update.tex,definition + \emph{},"
Let α≥ 0 and 0 < K < ∞.  A (possibly finite) set E ⊆^d is (K,α)-counting bounded if for all cubes C ⊆^d with C≥ 1, |E ∩ C| ≤ K C^α.
",-counting bounded,"
Let α≥ 0 and 0 < K < ∞.  A (possibly finite) set E ⊆^d is (K,α)B_MATH_TERM I_MATH_TERM if for all cubes C ⊆^d with C≥ 1, |E ∩ C| ≤ K C^α.
",O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O
mass bounded,"\label{def:massthin}
Let $\alpha \geq 0$ and $0 < K < \infty$.  A (possibly finite) set $E \subseteq \Z^d$ is $(K,\alpha)$-\emph{mass bounded} if for all centered cubes $C \subseteq \R^d$ with $\|C\| \geq 1$, $|E \cap C| \leq K \|C\|^\alpha$.
",/home/shufan/que_tex/marstrand-type_theorems_update.tex,definition + \emph{},"
Let α≥ 0 and 0 < K < ∞.  A (possibly finite) set E ⊆^d is (K,α)-mass bounded if for all centered cubes C ⊆^d with C≥ 1, |E ∩ C| ≤ K C^α.
",mass bounded,"
Let α≥ 0 and 0 < K < ∞.  A (possibly finite) set E ⊆^d is (K,α)-B_MATH_TERM I_MATH_TERM if for all centered cubes C ⊆^d with C≥ 1, |E ∩ C| ≤ K C^α.
",O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O
critical packing,"\label{definition-e-critical-packing}
Let $e=uv$ be an edge of a graph $G$. The $e$-\emph{critical packing} of $G-e$, denoted by $P_e(G)$, is a maximum packing of the graph $G-e$ with the following property.
\begin{equation}\label{condition}
\text{If } \vert \{ u, v \} \cap P_e(G) \vert < 2, \text{ then } P_e(G) \text{ is a packing of } G.
\end{equation}
",/home/shufan/que_tex/1811.03156.tex,definition + \emph{},"
Let e=uv be an edge of a graph G. The e-critical packing of G-e, denoted by P_e(G), is a maximum packing of the graph G-e with the following property.

    If |{ u, v }∩ P_e(G) | < 2,  then  P_e(G)  is a packing of  G.

",critical packing,"
Let e=uv be an edge of a graph G. The e-B_MATH_TERM I_MATH_TERM of G-e, denoted by P_e(G), is a maximum packing of the graph G-e with the following property.

    If |{ u, v }∩ P_e(G) | < 2,  then  P_e(G)  is a packing of  G.

",O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Complete word,"A word $w$ is {\bf complete} for a finite set $S$ (or $S$-complete) if it contains, as subsequence, all the permutations of $S$. An \BF{$n$-complete word} is a $[n]$-complete word. The length of a shortest $n$-complete word is denoted $\lambda(n)$.",/home/shufan/que_tex/2019-08-30_Fixing_Networks_Asynchronously_R1.tex,definition[],"A word w is complete for a finite set S (or S-complete) if it contains, as subsequence, all the permutations of S. An n-complete word is a [n]-complete word. The length of a shortest n-complete word is denoted λ(n).",Complete word,"A word w is complete for a finite set S (or S-complete) if it contains, as subsequence, all the permutations of S. An n-B_MATH_TERM I_MATH_TERM is a [n]-B_MATH_TERM I_MATH_TERM. The length of a shortest n-B_MATH_TERM I_MATH_TERM is denoted λ(n).",O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O I_MATH_TERM O O O
pairwise restriction,"
A family ${\mathcal A} \subset {\mathcal P}[n]$ satisfies an $x_{ij}$-\emph{pairwise restriction} between layers $i$ and $j$ of the cube if $|A\setminus B| \neq x_{ij}$ for all $A\in {\mathcal A}^{(i)}$ and $B \in {\mathcal A}^{(j)}$. 
",/home/shufan/que_tex/1311.5713.tex,definition + \emph{},"
A family 𝒜⊂𝒫[n] satisfies an x_ij-pairwise restriction between layers i and j of the cube if |A∖ B| ≠ x_ij for all A∈𝒜^(i) and B ∈𝒜^(j). 
",pairwise restriction,"
A family 𝒜⊂𝒫[n] satisfies an x_ij-B_MATH_TERM I_MATH_TERM between layers i and j of the cube if |A∖ B| ≠ x_ij for all A∈𝒜^(i) and B ∈𝒜^(j). 
",O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O
difference set in $G$,"
Let $G$ be a group of order $v$, written multiplicatively, and let $D$ be a subset of $G$ with $k$ elements. Then $D$ is a $(v,k,\lambda,n)$-\emph{difference set in $G$} if the multiset $\{d_1 d_2^{-1}: d_1, d_2 \in D \text{ and } d_1 \ne d_2 \}$ contains every non-identity element of $G$ exactly $\lambda$ times. In this case, we define $n:=k- \lambda$.  
",/home/shufan/que_tex/1708.04405.tex,definition + \emph{},"
Let G be a group of order v, written multiplicatively, and let D be a subset of G with k elements. Then D is a (v,k,λ,n)-difference set in G if the multiset {d_1 d_2^-1: d_1, d_2 ∈ D  and  d_1  d_2 } contains every non-identity element of G exactly λ times. In this case, we define n:=k- λ.  
",difference set in G,"
Let G be a group of order v, written multiplicatively, and let D be a subset of G with k elements. Then D is a (v,k,λ,n)-B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM if the multiset {d_1 d_2^-1: d_1, d_2 ∈ D  and  d_1  d_2 } contains every non-identity element of G exactly λ times. In this case, we define n:=k- λ.  
",O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-linking system of difference sets in $G$,"\label{link}
Let $G$ be a group of order $v$, written multiplicatively, and let $ \ell \ge 2$. Suppose $\mathcal{L}= \{D_{i,j} : 0 \le i,j  \le  \ell \text{ and }i \ne j \}$ is a collection of size $\ell (\ell+1)$ of $(v,k,\lambda,n)$-difference sets in $G$. Then $\mathcal{L}$ is a $(v,k,\lambda,n; \ell+1)$\emph{-linking system of difference sets in $G$} if there are integers $\mu, \nu$ such that for all distinct $i,j,h$, the following equations hold in $\Z[G]$:
\begin{align}
D_{h,i} D_{i,j} &= (\mu-\nu) D_{h,j} + \nu G \label{Cond1} \\
 D_{i,j} &= D_{j,i}^{(-1)} .\label{Cond2}
\end{align}
",/home/shufan/que_tex/1708.04405.tex,definition + \emph{},"
Let G be a group of order v, written multiplicatively, and let ℓ≥ 2. Suppose ℒ= {D_i,j : 0 ≤ i,j  ≤ℓ and i  j } is a collection of size ℓ (ℓ+1) of (v,k,λ,n)-difference sets in G. Then ℒ is a (v,k,λ,n; ℓ+1)-linking system of difference sets in G if there are integers μ, ν such that for all distinct i,j,h, the following equations hold in [G]:

    D_h,i D_i,j   = (μ-ν) D_h,j + ν G 
    
     D_i,j   = D_j,i^(-1) .

",-linking system of difference sets in G,"
Let G be a group of order v, written multiplicatively, and let ℓ≥ 2. Suppose ℒ= {D_i,j : 0 ≤ i,j  ≤ℓ and i  j } is a collection of size ℓ (ℓ+1) of (v,k,λ,n)-difference sets in G. Then ℒ is a (v,k,λ,n; ℓ+1)B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM if there are integers μ, ν such that for all distinct i,j,h, the following equations hold in [G]:

    D_h,i D_i,j   = (μ-ν) D_h,j + ν G 
    
     D_i,j   = D_j,i^(-1) .

",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
