term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
rank,"
 If $G$ is a graph, and $W_1,W_2 \subset V$ are two subsets of the vertices of $G$, then $\emph{rank}_G(W_1,W_2)$ denotes the rank of the submatrix of the adjacency matrix with rows $W_1$ and columns $W_2$. More intrinsically, this is the rank of the map $\langle W_1 \rangle \rightarrow \langle W_2 \rangle^\ast$ induced by $\cE$, where $\langle W_2 \rangle^*$ is the dual vector space of $\langle W_2 \rangle$.
",/home/shufan/que_tex/JournalVersion.tex,definition + \emph{},"
 If G is a graph, and W_1,W_2 ⊂ V are two subsets of the vertices of G, then rank_G(W_1,W_2) denotes the rank of the submatrix of the adjacency matrix with rows W_1 and columns W_2. More intrinsically, this is the rank of the map ⟨ W_1 ⟩→⟨ W_2 ⟩^∗ induced by , where ⟨ W_2 ⟩^* is the dual vector space of ⟨ W_2 ⟩.
",rank,"
 If G is a graph, and W_1,W_2 ⊂ V are two subsets of the vertices of G, then B_MATH_TERM_G(W_1,W_2) denotes the rank of the submatrix of the adjacency matrix with rows W_1 and columns W_2. More intrinsically, this is the rank of the map ⟨ W_1 ⟩→⟨ W_2 ⟩^∗ induced by , where ⟨ W_2 ⟩^* is the dual vector space of ⟨ W_2 ⟩.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
star graph,"
	Let $r$ and $t$ be positive integers. The \index{double star graph}\emph{star graph} denoted by $S_{r,t}$ is defined by the graph union $S_{r} \cup S_{t}$ and connecting the two centers of the two stars.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let r and t be positive integers. The double star graphstar graph denoted by S_r,t is defined by the graph union S_r∪ S_t and connecting the two centers of the two stars.
",star graph,"
	Let r and t be positive integers. The double star graphB_MATH_TERM I_MATH_TERM denoted by S_r,t is defined by the graph union S_r∪ S_t and connecting the two centers of the two stars.
",O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O
wheel graph,"
	Let $n$ be a positive integer larger than three. The \index{wheel graph}\emph{wheel graph} denoted by $W_{n}$ is defined by the graph join $C_{n}+K_{1}$.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let n be a positive integer larger than three. The wheel graphwheel graph denoted by W_n is defined by the graph join C_n+K_1.
",wheel graph,"
	Let n be a positive integer larger than three. The wheel graphB_MATH_TERM I_MATH_TERM denoted by W_n is defined by the graph join C_n+K_1.
",O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O
triangular book graph,"
	Let $n$ be a positive integer. The \index{triangular book graph}\emph{triangular book graph} denoted by $B_{n}$ is defined by the graph join $nK_{1}+K_{2}$.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let n be a positive integer. The triangular book graphtriangular book graph denoted by B_n is defined by the graph join nK_1+K_2.
",triangular book graph,"
	Let n be a positive integer. The triangular book graphB_MATH_TERM I_MATH_TERM I_MATH_TERM denoted by B_n is defined by the graph join nK_1+K_2.
",O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O
quadrilateral book graph,"
	Let $n$ be a positive integer. The \index{quadrilateral book graph}\emph{quadrilateral book graph} denoted by $B_{n,2}$ is defined by the graph join $nK_{2}+k_{2}$.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let n be a positive integer. The quadrilateral book graphquadrilateral book graph denoted by B_n,2 is defined by the graph join nK_2+k_2.
",quadrilateral book graph,"
	Let n be a positive integer. The quadrilateral book graphB_MATH_TERM I_MATH_TERM I_MATH_TERM denoted by B_n,2 is defined by the graph join nK_2+k_2.
",O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O
Freiman isomorphic,"
Let $A$ and $B$ be finite subsets of abelian groups (not necessarily equal). We say that $A$ and $B$ are $m$-\emph{Freiman isomorphic} if there exists a bijection $f:A\to B$ such that 
\begin{eqnarray*}
f(a_1)+f(a_2)\ldots+f(a_m)&=& f(a_1')+f(a_2')\ldots+f(a_m')\\
&\Updownarrow&\\
a_1+\ldots+a_m&=&a_1'+\ldots+a_m'.
\end{eqnarray*}
",/home/shufan/que_tex/dilatesums.tex,definition + \emph{},"
Let A and B be finite subsets of abelian groups (not necessarily equal). We say that A and B are m-Freiman isomorphic if there exists a bijection f:A→ B such that 

    f(a_1)+f(a_2)…+f(a_m)   =    f(a_1')+f(a_2')…+f(a_m')
       ⇕   
    
    a_1+…+a_m   =   a_1'+…+a_m'.

",Freiman isomorphic,"
Let A and B be finite subsets of abelian groups (not necessarily equal). We say that A and B are m-B_MATH_TERM I_MATH_TERM if there exists a bijection f:A→ B such that 

    f(a_1)+f(a_2)…+f(a_m)   =    f(a_1')+f(a_2')…+f(a_m')
       ⇕   
    
    a_1+…+a_m   =   a_1'+…+a_m'.

",O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O
decomposition,"
Let $T_1$ be an unordered increasing tree with root vertex $a_1$, and let $v$ be any vertex in $T$ ($v$ can be equal to $a_1$). Suppose that the unique maximal
chain from $a_1$ to $v$ is given by $a_1<a_2<\cd <a_k=v$, $k\geq 1$. Now remove the edges on the chain in $T$ from $a_1$ to $a_k$. There are $k$ components in the resulting graph, each of which is an unordered increasing tree, whose root vertex is on the chain from $a_1$ to $a_k$. Let $T^{(a_i)}$ be the component among these that is rooted at vertex $a_i$, $i=1,\ldots ,k$. Then the $v$-\emph{decomposition} of $T$ is the ordered list $T^{(a_1)},\ldots ,T^{(a_k)}$.
",/home/shufan/que_tex/FGLEdgeRevision.tex,definition + \emph{},"
Let T_1 be an unordered increasing tree with root vertex a_1, and let v be any vertex in T (v can be equal to a_1). Suppose that the unique maximal
chain from a_1 to v is given by a_1<a_2< <a_k=v, k≥ 1. Now remove the edges on the chain in T from a_1 to a_k. There are k components in the resulting graph, each of which is an unordered increasing tree, whose root vertex is on the chain from a_1 to a_k. Let T^(a_i) be the component among these that is rooted at vertex a_i, i=1,… ,k. Then the v-decomposition of T is the ordered list T^(a_1),… ,T^(a_k).
",decomposition,"
Let T_1 be an unordered increasing tree with root vertex a_1, and let v be any vertex in T (v can be equal to a_1). Suppose that the unique maximal
chain from a_1 to v is given by a_1<a_2< <a_k=v, k≥ 1. Now remove the edges on the chain in T from a_1 to a_k. There are k components in the resulting graph, each of which is an unordered increasing tree, whose root vertex is on the chain from a_1 to a_k. Let T^(a_i) be the component among these that is rooted at vertex a_i, i=1,… ,k. Then the v-B_MATH_TERM of T is the ordered list T^(a_1),… ,T^(a_k).
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
dependence,"\label{def_depend}
Consider a $\pi$-increasing tree $T$, with ($\pi$-compatible) vertex-set $\mcS=\cup_{i \in I} \pi_i$. For a vertex $v$ in $T$, suppose that the $v$-decomposition of $T$ is given by
\begin{equation*}
T^{(a_1)},\ld ,T^{(a_\ell)},
\end{equation*}
where $a_{\ell}=v$. Then the $v$-\emph{dependence} graph of $T$, denoted by $\G{v}{T}$, is a directed graph with the following vertices and directed edges:
\begin{itemize}
    \item the vertex-set of $G_v(T)$ is $\{ \pi_i, i\in I\}$;
    \item for the directed edges of $G_v(T)$, consider, if any, a maximum element $\mu_i$, $i\in I$, which is not contained in the
        chain $a_1,\cdots,a_\ell$ of $T$. 
       This vertex belongs (as a nonroot vertex) to $T^{(a_j)}$ for some $j=1,\ldots ,\ell$.
        Then there is a directed edge from $\pi_i$ to $\pi^{a_j}$, for each such $i\in I$.
\end{itemize}
",/home/shufan/que_tex/FGLEdgeRevision.tex,definition + \emph{},"
Consider a π-increasing tree T, with (π-compatible) vertex-set =∪_i ∈ Iπ_i. For a vertex v in T, suppose that the v-decomposition of T is given by

    T^(a_1), ,T^(a_ℓ),

where a_ℓ=v. Then the v-dependence graph of T, denoted by vT, is a directed graph with the following vertices and directed edges:

    
  * the vertex-set of G_v(T) is {π_i, i∈ I};
    
  * for the directed edges of G_v(T), consider, if any, a maximum element μ_i, i∈ I, which is not contained in the
        chain a_1,⋯,a_ℓ of T. 
       This vertex belongs (as a nonroot vertex) to T^(a_j) for some j=1,… ,ℓ.
        Then there is a directed edge from π_i to π^a_j, for each such i∈ I.

",dependence,"
Consider a π-increasing tree T, with (π-compatible) vertex-set =∪_i ∈ Iπ_i. For a vertex v in T, suppose that the v-decomposition of T is given by

    T^(a_1), ,T^(a_ℓ),

where a_ℓ=v. Then the v-B_MATH_TERM graph of T, denoted by vT, is a directed graph with the following vertices and directed edges:

    
  * the vertex-set of G_v(T) is {π_i, i∈ I};
    
  * for the directed edges of G_v(T), consider, if any, a maximum element μ_i, i∈ I, which is not contained in the
        chain a_1,⋯,a_ℓ of T. 
       This vertex belongs (as a nonroot vertex) to T^(a_j) for some j=1,… ,ℓ.
        Then there is a directed edge from π_i to π^a_j, for each such i∈ I.

",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Oriented spanning forest,"%Let $G$ be a finite connected simple graph, and let $Z$ be a nonempty subset of $V(G)$.
A \emph{$Z$-oriented spanning forest} of $G$ is an oriented subgraph $F$ of $G$ such that
\begin{enumerate}
\item Every vertex in $Z$ has outdegree $0$ in $F$;
\item Every vertex in $G \setminus Z$ has outdegree 1 in $F$; and
\item $F$ contains no directed cycles. \qedhere
\end{enumerate}
%
%
%for any vertex $x$ not in $Z$, there exists a unique directed path in the  subgraph 
%that starts at $x$ and ends at $Z$.",/home/shufan/que_tex/Rotor_walk_transient_wsf.tex,definition[],"
A Z-oriented spanning forest of G is an oriented subgraph F of G such that


  * Every vertex in Z has outdegree 0 in F;

  * Every vertex in G ∖ Z has outdegree 1 in F; and

  * F contains no directed cycles. 



",Oriented spanning forest,"
A Z-B_MATH_TERM I_MATH_TERM I_MATH_TERM of G is an oriented subgraph F of G such that


  * Every vertex in Z has outdegree 0 in F;

  * Every vertex in G ∖ Z has outdegree 1 in F; and

  * F contains no directed cycles. 



",O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Oriented uniform spanning forest,"\label{definition: usf}
% Let $G$ be a finite graph, and let $Z$ be a nonempty subset of $V(G)$.
 The \emph{$Z$-oriented uniform spanning forest} , denoted by $\ousf(G,Z)$, is the uniform probability distribution on $Z$-oriented spanning forests of $G$.",/home/shufan/que_tex/Rotor_walk_transient_wsf.tex,definition[],"

 The Z-oriented uniform spanning forest , denoted by (G,Z), is the uniform probability distribution on Z-oriented spanning forests of G.",Oriented uniform spanning forest,"

 The Z-B_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM , denoted by (G,Z), is the uniform probability distribution on Z-oriented spanning forests of G.",O O I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O
-biased recursive tree ($p$-BRT);-recursive tree,"
The random tree $\mathcal{T}_n'$ described in  previous paragraph
will be called a $p$\emph{-biased recursive tree ($p$-BRT)} . When
$p$ is the uniform distribution over $[a]$, $a\geq 2$, we call
$\mathcal{T}_n'$ an $a$\emph{-recursive tree} ($a$-RT).
",/home/shufan/que_tex/1801.04617.tex,definition + \emph{},"
The random tree 𝒯_n' described in  previous paragraph
will be called a p-biased recursive tree (p-BRT) . When
p is the uniform distribution over [a], a≥ 2, we call
𝒯_n' an a-recursive tree (a-RT).
",-biased recursive tree (p-BRT);-recursive tree,"
The random tree 𝒯_n' described in  previous paragraph
will be called a pB_MATH_TERM I_MATH_TERM I_MATH_TERM I_MATH_TERM . When
p is the uniform distribution over [a], a≥ 2, we call
𝒯_n' an aB_MATH_TERM I_MATH_TERM (a-RT).
",O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O I_MATH_TERM O
-jumbled graph;-jumbled,"[Jumbledness for graphs]
 We say that $\Gamma=(V,E_\Gamma)$ is a $(p,\beta)$\emph{-jumbled graph} if, for all subsets $X$, 
$Y\subset V$, we have 
$\big|e_{\Gamma}(X,Y) - p|X||Y|\big|\leq 
\beta\sqrt{|X||Y|}$.
Furthermore, a bipartite graph $\Gamma_B=(U,V;E)$ is called  
$(p,\beta)$\emph{-jumbled} if, for all $X\subset U$ and 
$Y\subset V$, we have $|e_{\Gamma}(X,Y) - p|X||Y|\big|\leq \beta\sqrt{|X||Y|}$.
",/home/shufan/que_tex/1602.08784.tex,definition + \emph{},"[Jumbledness for graphs]
 We say that Γ=(V,E_Γ) is a (p,β)-jumbled graph if, for all subsets X, 
Y⊂ V, we have 
|e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
Furthermore, a bipartite graph Γ_B=(U,V;E) is called  
(p,β)-jumbled if, for all X⊂ U and 
Y⊂ V, we have |e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
",-jumbled graph;-jumbled,"[Jumbledness for graphs]
 We say that Γ=(V,E_Γ) is a (p,β)B_MATH_TERM I_MATH_TERM if, for all subsets X, 
Y⊂ V, we have 
|e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
Furthermore, a bipartite graph Γ_B=(U,V;E) is called  
(p,β)B_MATH_TERM if, for all X⊂ U and 
Y⊂ V, we have |e_Γ(X,Y) - p|X||Y||≤β√(|X||Y|).
",O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
