term,def,file_name,extraction_rule,plain_text_def,plain_text_term,masked_plain_text_def,labeled_def
ordinary triangle,"[$c$-ordinary triangle]
Let $c$ be a natural number and  let $P$ be a point set in the plane. 
A $c$-\textit{ordinary triangle} in $P$ is 
a subset of $P$ consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most $c$ points of $P$.
",/home/shufan/que_tex/cgta1585.tex,definition + \textit{},"[c-ordinary triangle]
Let c be a natural number and  let P be a point set in the plane. 
A c-ordinary triangle in P is 
a subset of P consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most c points of P.
",ordinary triangle,"[c-ordinary triangle]
Let c be a natural number and  let P be a point set in the plane. 
A c-B_MATH_TERM I_MATH_TERM in P is 
a subset of P consisting of three non-collinear points such that each of the 
three lines determined by the three points contains at most c points of P.
",O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Intersecting embeddings,"Let $\mathbf{V}=(V_n)_{n \in \N}$ be an ssee. Let $N_1$,~$N_2 \leq n$.  An \emph{$i$-intersecting embedding} of~$(V_{N_1}, V_{N_2})$ into $V_n$ is a function $\phi: \ V_{N_1}\sqcup V_{N_2}\rightarrow V_n$ such that:
	\begin{enumerate}[(i)]
		\item the restriction of $\phi$ to  $V_{N_1}$ lies in $\binom{V_n}{V_{N_1}}$, and the restriction of $\phi$ to $V_{N_2}$ lies in $\binom{V_n}{V_{N_2}}$;
		\item $\vert \phi(V_{N_1})\cap \phi(V_{N_2})\vert=i$.
	\end{enumerate}
	We denote by $I_i\bigl( (V_{N_1}, V_{N_2}), V_n\bigr)$ the number of $i$-intersecting embeddings of $(V_{N_1}, V_{N_2})$ into $V_n$, and set
	\[I(N, n):=\sum_{1<i<\vert V_N\vert} I_i\bigl( (V_{N}, V_{N}), V_n\bigr).\]",/home/shufan/que_tex/containerpaperarxivupdate.tex,definition[],"Let 𝐕=(V_n)_n ∈ be an ssee. Let N_1, N_2 ≤ n.  An i-intersecting embedding of (V_N_1, V_N_2) into V_n is a function ϕ:  V_N_1⊔ V_N_2→ V_n such that:
	
		
  * the restriction of ϕ to  V_N_1 lies in V_nV_N_1, and the restriction of ϕ to V_N_2 lies in V_nV_N_2;
		
  * |ϕ(V_N_1)∩ϕ(V_N_2)|=i.
	
	We denote by I_i( (V_N_1, V_N_2), V_n) the number of i-intersecting embeddings of (V_N_1, V_N_2) into V_n, and set
	
    I(N, n):=∑_1<i<| V_N| I_i( (V_N, V_N), V_n).
",Intersecting embeddings,"Let 𝐕=(V_n)_n ∈ be an ssee. Let N_1, N_2 ≤ n.  An i-intersecting embedding of (V_N_1, V_N_2) into V_n is a function ϕ:  V_N_1⊔ V_N_2→ V_n such that:
	
		
  * the restriction of ϕ to  V_N_1 lies in V_nV_N_1, and the restriction of ϕ to V_N_2 lies in V_nV_N_2;
		
  * |ϕ(V_N_1)∩ϕ(V_N_2)|=i.
	
	We denote by I_i( (V_N_1, V_N_2), V_n) the number of i-B_MATH_TERM I_MATH_TERM of (V_N_1, V_N_2) into V_n, and set
	
    I(N, n):=∑_1<i<| V_N| I_i( (V_N, V_N), V_n).
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O
equivalent,"
We say that two functions   $a,b\colon [c,\infty)\to \R$
   are \emph{equivalent},   and write $a\cong b$,  if they have polynomial growth rate
   and satisfy
$\deg(a-b)< \min\{\deg(a),\deg(b)\}$.
",/home/shufan/que_tex/1202.4784.tex,definition + \emph{},"
We say that two functions   a,b [c,∞)→
   are equivalent,   and write a≅ b,  if they have polynomial growth rate
   and satisfy
(a-b)< min{(a),(b)}.
",equivalent,"
We say that two functions   a,b [c,∞)→
   are B_MATH_TERM,   and write a≅ b,  if they have polynomial growth rate
   and satisfy
(a-b)< min{(a),(b)}.
",O O O O O O O O O O O O O O O O O O O O O O O
trio,"
 If $A,B,C \subseteq G$ satisfy $0 \not\in A + B + C$ and each of $A$, $B$, $C$ is 
either finite or cofinite, then we say that $(A,B,C)$ is a \emph{trio}.  
",/home/shufan/que_tex/1301.0095.tex,definition + \emph{},"
 If A,B,C ⊆ G satisfy 0 ∉A + B + C and each of A, B, C is 
either finite or cofinite, then we say that (A,B,C) is a trio.  
",trio,"
 If A,B,C ⊆ G satisfy 0 ∉A + B + C and each of A, B, C is 
either finite or cofinite, then we say that (A,B,C) is a B_MATH_TERM.  
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
lineal,"
A combinatorial configuration whose Levi graph has girth at least 6 is called \emph{lineal}.
",/home/shufan/que_tex/pointellipse.tex,definition + \emph{},"
A combinatorial configuration whose Levi graph has girth at least 6 is called lineal.
",lineal,"
A combinatorial configuration whose Levi graph has girth at least 6 is called B_MATH_TERM.
",O O O O O O O O O O O O O O
circular,"
A combinatorial configuration  $\mathcal{C}$ such that any two combinatorial 
circles meet in at most two combinatorial points is called \emph{circular}.
",/home/shufan/que_tex/pointellipse.tex,definition + \emph{},"
A combinatorial configuration  𝒞 such that any two combinatorial 
circles meet in at most two combinatorial points is called circular.
",circular,"
A combinatorial configuration  𝒞 such that any two combinatorial 
circles meet in at most two combinatorial points is called B_MATH_TERM.
",O O O O O O O O O O O O O O O O O O O O
well-shaped," \label{th:generalized-questions}
Let $\sigma$ be a well-shaped state of type $\tau (\sigma) = (a_0, b_0,c_0,d_0) $.
%
%
%
%
%
%
For all integers
$\displaystyle{0 \leq a \leq a_0 \quad  0 \leq  b \leq \lceil \frac{1}{2} b_0 \rceil 
\quad 0 \leq  c \leq \lceil \frac{1}{2} c_0 \rceil  
\quad 0 \leq  d \leq \lceil \frac{2}{3} d_0 \rceil}
$
there exists a $4$-interval question $Q$ of type $|Q| = [a,b,c,d]$  that we can ask in state $\sigma$ and such 
that both the resulting ""yes"" and ""no"" states are \emph{well-shaped}.
",/home/shufan/que_tex/Multi-interval-without-comments.tex,theorem + \emph{}," 
Let σ be a well-shaped state of type τ (σ) = (a_0, b_0,c_0,d_0).






For all integers
0 ≤ a ≤ a_0     0 ≤  b ≤⌈1/2 b_0 ⌉   0 ≤  c ≤⌈1/2 c_0 ⌉   0 ≤  d ≤⌈2/3 d_0 ⌉
there exists a 4-interval question Q of type |Q| = [a,b,c,d]  that we can ask in state σ and such 
that both the resulting ""yes"" and ""no"" states are well-shaped.
",well-shaped," 
Let σ be a well-shaped state of type τ (σ) = (a_0, b_0,c_0,d_0).






For all integers
0 ≤ a ≤ a_0     0 ≤  b ≤⌈1/2 b_0 ⌉   0 ≤  c ≤⌈1/2 c_0 ⌉   0 ≤  d ≤⌈2/3 d_0 ⌉
there exists a 4-interval question Q of type |Q| = [a,b,c,d]  that we can ask in state σ and such 
that both the resulting ""yes"" and ""no"" states are B_MATH_TERM.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
arc-transitive," \textbf{Arc-transitive} Lauri J. et al. \cite{Sym_book}\\
``If $G$ has the property that, for any two edges $\{a, b\},\{c, d\}$, there is an automorphism $\alpha$ such that $\alpha(a) = c$ and $\alpha(b) = d$ and also an automorphism $\beta$ such that $\beta(a) = d$ and $\beta(b) = c$, then $G$ is said to be \textit{arc-transitive}.''
",/home/shufan/que_tex/overall_paper.tex,definition + \textit{}," Arc-transitive Lauri J. et al. <cit.>

“If G has the property that, for any two edges {a, b},{c, d}, there is an automorphism α such that α(a) = c and α(b) = d and also an automorphism β such that β(a) = d and β(b) = c, then G is said to be arc-transitive.”
",arc-transitive," Arc-transitive Lauri J. et al. <cit.>

“If G has the property that, for any two edges {a, b},{c, d}, there is an automorphism α such that α(a) = c and α(b) = d and also an automorphism β such that β(a) = d and β(b) = c, then G is said to be B_MATH_TERM.”
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
flat;crossed,"
If each of these arcs contains two adjacent half-edges around $v$, $v$ is \emph{flat}. If each of these arcs contains two opposite half-edges around $v$, $v$ is \emph{crossed}.
",/home/shufan/que_tex/star-graph_embeddings.tex,definition + \emph{},"
If each of these arcs contains two adjacent half-edges around v, v is flat. If each of these arcs contains two opposite half-edges around v, v is crossed.
",flat;crossed,"
If each of these arcs contains two adjacent half-edges around v, v is B_MATH_TERM. If each of these arcs contains two opposite half-edges around v, v is B_MATH_TERM.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O
subchromatic,"
For $F$ an edge-coloring of $K_n$ and $S \subseteq R$ a set of colors, we write that a set $Z$ of vertices is $S$-\emph{subchromatic} in $F$ if every edge internal to $Z$ takes colors (under $F$) only from $S$.
",/home/shufan/que_tex/1303.2951.tex,definition + \emph{},"
For F an edge-coloring of K_n and S ⊆ R a set of colors, we write that a set Z of vertices is S-subchromatic in F if every edge internal to Z takes colors (under F) only from S.
",subchromatic,"
For F an edge-coloring of K_n and S ⊆ R a set of colors, we write that a set Z of vertices is S-B_MATH_TERM in F if every edge internal to Z takes colors (under F) only from S.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
locally based on,"\label{31} Fix $\I, \J$ $L'$-structures and a sublanguage $L^\ast \subseteq L'$.  Fix a set of parameters $\In := (a_i : i \in I)$. 
\begin{enumerate}
\item We say the $J$-indexed set $(b_i : i \in J)$ 
is \emph{$L^\ast$-locally based on the $a_i$ ($L^\ast$-locally based on $\In$)} if for any finite set of $L$-formulas, $\Delta$, and for any finite tuple $(t_1, \ldots, t_n)$ from $J$, there exists a tuple $(s_1, \ldots, s_n)$ from $I$ such that 

$\qt^{L^\ast}(\ov{t};\J)=\qt^{L^\ast}(\ov{s};\I)$, 

\nin and

$\textrm{tp}^{\Delta}(\ov{b}_{\ov{t}}; \Mm) = \textrm{tp}^{\Delta}(\ov{a}_{\ov{s}}; \Mm)$.

\vspace{.1in}

\noindent We abbreviate this condition by ``the $b_i$ are $L^\ast$-locally based on the $a_i$.''

\item If the $J$-indexed set $(b_i : i \in J)$ is $L'$-locally based on the $a_i$, we omit mention of $L'$. 
\end{enumerate}",/home/shufan/que_tex/emtp_arxiv14.tex,definition[]," Fix , L'-structures and a sublanguage L^∗⊆ L'.  Fix a set of parameters := (a_i : i ∈ I). 


  * We say the J-indexed set (b_i : i ∈ J) 
is L^∗-locally based on the a_i (L^∗-locally based on ) if for any finite set of L-formulas, Δ, and for any finite tuple (t_1, …, t_n) from J, there exists a tuple (s_1, …, s_n) from I such that 

^L^∗(t;)=^L^∗(s;), 

and

tp^Δ(b_t; ) = tp^Δ(a_s; ).




We abbreviate this condition by “the b_i are L^∗-locally based on the a_i.”


  * If the J-indexed set (b_i : i ∈ J) is L'-locally based on the a_i, we omit mention of L'. 
",locally based on," Fix , L'-structures and a sublanguage L^∗⊆ L'.  Fix a set of parameters := (a_i : i ∈ I). 


  * We say the J-indexed set (b_i : i ∈ J) 
is L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i (L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM ) if for any finite set of L-formulas, Δ, and for any finite tuple (t_1, …, t_n) from J, there exists a tuple (s_1, …, s_n) from I such that 

^L^∗(t;)=^L^∗(s;), 

and

tp^Δ(b_t; ) = tp^Δ(a_s; ).




We abbreviate this condition by “the b_i are L^∗-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i.”


  * If the J-indexed set (b_i : i ∈ J) is L'-B_MATH_TERM I_MATH_TERM I_MATH_TERM the a_i, we omit mention of L'. 
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O O O O O O O O I_MATH_TERM I_MATH_TERM O O O O O O O
homotopic,"\label{def: Homotopy}
Let $f, g\colon X \to Y$ be (continuous) maps of digital images.
We say that $f$ and $g$ are \emph{homotopic}, and write $f \approx g$,  if, for some $N\geq 1$, there is a continuous map
%
$$H \colon X \times I_N \to Y,$$
%
with $H(x, 0) = f(x)$ and $H(x, N) = g(x)$.  Then $H$ is a homotopy from $f$ to $g$.
",/home/shufan/que_tex/Subdivision_5-31-19.tex,definition + \emph{},"
Let f, g X → Y be (continuous) maps of digital images.
We say that f and g are homotopic, and write f ≈ g,  if, for some N≥ 1, there is a continuous map


    H  X × I_N → Y,


with H(x, 0) = f(x) and H(x, N) = g(x).  Then H is a homotopy from f to g.
",homotopic,"
Let f, g X → Y be (continuous) maps of digital images.
We say that f and g are B_MATH_TERM, and write f ≈ g,  if, for some N≥ 1, there is a continuous map


    H  X × I_N → Y,


with H(x, 0) = f(x) and H(x, N) = g(x).  Then H is a homotopy from f to g.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
rank;rank;rank,"\label{ranksOfReductions}
 If $G$ is a graph, $W$ is a reducible set of vertices in $G$, and $W_1,W_2 \subset V \backslash W$ are two sets of vertices in $\Gamma_W(G)$, then
\begin{equation}
 \emph{rank}_{\Gamma_W(G)}(W_1,W_2) = \emph{rank}_G(W \cup W_1, W \cup W_2) - \emph{rank}_G(W).
\end{equation}
",/home/shufan/que_tex/JournalVersion.tex,theorem + \emph{},"
 If G is a graph, W is a reducible set of vertices in G, and W_1,W_2 ⊂ V \ W are two sets of vertices in Γ_W(G), then

    rank_Γ_W(G)(W_1,W_2) = rank_G(W ∪ W_1, W ∪ W_2) - rank_G(W).

",rank;rank;rank,"
 If G is a graph, W is a reducible set of vertices in G, and W_1,W_2 ⊂ V \ W are two sets of vertices in Γ_W(G), then

    B_MATH_TERM_Γ_W(G)(W_1,W_2) = B_MATH_TERM_G(W ∪ W_1, W ∪ W_2) - B_MATH_TERM_G(W).

",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
rank,"
 If $G$ is a graph, and $W_1,W_2 \subset V$ are two subsets of the vertices of $G$, then $\emph{rank}_G(W_1,W_2)$ denotes the rank of the submatrix of the adjacency matrix with rows $W_1$ and columns $W_2$. More intrinsically, this is the rank of the map $\langle W_1 \rangle \rightarrow \langle W_2 \rangle^\ast$ induced by $\cE$, where $\langle W_2 \rangle^*$ is the dual vector space of $\langle W_2 \rangle$.
",/home/shufan/que_tex/JournalVersion.tex,definition + \emph{},"
 If G is a graph, and W_1,W_2 ⊂ V are two subsets of the vertices of G, then rank_G(W_1,W_2) denotes the rank of the submatrix of the adjacency matrix with rows W_1 and columns W_2. More intrinsically, this is the rank of the map ⟨ W_1 ⟩→⟨ W_2 ⟩^∗ induced by , where ⟨ W_2 ⟩^* is the dual vector space of ⟨ W_2 ⟩.
",rank,"
 If G is a graph, and W_1,W_2 ⊂ V are two subsets of the vertices of G, then B_MATH_TERM_G(W_1,W_2) denotes the rank of the submatrix of the adjacency matrix with rows W_1 and columns W_2. More intrinsically, this is the rank of the map ⟨ W_1 ⟩→⟨ W_2 ⟩^∗ induced by , where ⟨ W_2 ⟩^* is the dual vector space of ⟨ W_2 ⟩.
",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the dual of~$F$,"[\cite{FNT:GenDu,NesTar:Dual}]
If $(F,D)$ is a duality pair, then $F$~is a \Dt. Conversely, if $F$~is
a \Dt, there exists a unique \Ds~$D$ (\emph{the dual of~$F$}) such that
$(F,D)$~is a duality pair.

If $(\F,\{D\})$ is a finite duality, then all elements of~$\F$ are \Dt s
and $D$~is the product of their duals. If $(\F,\D)$~is a finite duality,
then all elements of~$\F$ are \Df s and each element of~$\D$ is the
product of duals of some components of elements of~$\F$. In this case,
$\D$~is determined uniquely by~$\F$.
\qed",/home/shufan/que_tex/0801.2384.tex,theorem + \emph{},"[<cit.>]
If (F,D) is a duality pair, then F is a . Conversely, if F is
a , there exists a unique  D (the dual of F) such that
(F,D) is a duality pair.

If (,{D}) is a finite duality, then all elements of  are s
and D is the product of their duals. If (,) is a finite duality,
then all elements of  are s and each element of  is the
product of duals of some components of elements of . In this case,
 is determined uniquely by .
",the dual of F,"[<cit.>]
If (F,D) is a duality pair, then F is a . Conversely, if F is
a , there exists a unique  D (B_MATH_TERM I_MATH_TERM I_MATH_TERM) such that
(F,D) is a duality pair.

If (,{D}) is a finite duality, then all elements of  are s
and D is the product of their duals. If (,) is a finite duality,
then all elements of  are s and each element of  is the
product of duals of some components of elements of . In this case,
 is determined uniquely by .
",O O O O O O O O O O O O O O O O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
star graph;center,"
	Let $n$ be a positive integer. The \index{star graph}\emph{star graph} denoted by $S_{n}$ is defined by the graph join $nK_{1}+K_{1}$. Further the vertex with the maximum degree is called the \emph{center}.
",/home/shufan/que_tex/1811.10089.tex,definition + \emph{},"
	Let n be a positive integer. The star graphstar graph denoted by S_n is defined by the graph join nK_1+K_1. Further the vertex with the maximum degree is called the center.
",star graph;center,"
	Let n be a positive integer. The star graphB_MATH_TERM I_MATH_TERM denoted by S_n is defined by the graph join nK_1+K_1. Further the vertex with the maximum degree is called the B_MATH_TERM.
",O O O O O O O O O I_MATH_TERM O O O O O O O O O O O O O O O O O O O O O
